S 24/06/26 08:44:43
D    0  11.34   0.00
D    5  11.34   0.00
D   10  11.34   0.00
D   15  11.34   0.00
D   20  11.34   0.00
D   25  11.34   0.00
D   30  11.34   0.00
D   35  11.34   0.00
D   40  11.34   0.00
D   45  11.34   0.00
D   50  11.34   0.00
D   55* 11.34   0.00
D   60  11.34   0.00
D   65  11.34   0.00
D   70  11.35   0.00
D   75  11.35   0.00
D   80  11.35   0.00
D   85  11.35   0.00
D   90  11.35   0.00
D   95  11.35   0.00
D  100  11.35   0.00
D  105  16.13   0.00
D  110  96.86 359.95
D  115  89.66 359.95
D  120  89.56 359.95
D  125  93.51 359.95
D  130  93.50   0.55
D  135  93.51   6.44
D  140  93.51  11.40
D  145  94.37 357.78
D  150  93.69 357.78
D  155  93.92 357.78
D  160  93.92 355.13
D  165  94.02   0.28
D  170  94.02   0.32
D  175  94.02   0.11
D  180  94.02   0.87
D  185  94.02   0.74
D  190  94.59   0.74
D  195  89.42   0.74
D  200  90.02   0.74
D  205  90.00   0.74
D  210  90.00   0.74
D  215  90.00   0.74
D  220  90.00   0.74
D  225  90.00   0.74
D  230  90.00   0.74
D  235  90.00   0.74
D  240  90.00   0.74
D  245  90.00   0.74
D  250  90.00   0.74
D  255  90.00   0.74
D  260  90.00   0.74
D  265  90.00   0.74
D  270  90.00   0.74
D  275  90.00   0.74
D  280  90.00   0.74
D  285  90.00   0.74
D  290  90.00   0.74
D  295  90.00   0.74
E  300  90.00   0.74
S 24/06/26 10:13:02
D    0 353.58   1.06
D    5 353.59   1.07
D   10 353.59   1.07
D   15 353.59   1.07
D   20 353.59   1.07
E   25 353.59   1.07
S 24/06/26 10:13:59
D    0 353.50   1.06
D    5 353.50   1.06
D   10 352.71   1.06
D   15 352.69   1.07
D   20 352.87   1.10
D   25 348.85  18.30
D   30 348.69  24.80
D   35 349.21  25.66
D   40 350.43  26.44
D   45 351.46  29.11
D   50 355.96  30.00
D   55 358.32  34.09
D   60   1.30  35.84
D   65   4.15  37.92
D   70   7.18  41.48
D   75   9.60  43.87
D   80  12.15  44.33
D   85  12.40  45.33
D   90  14.34  46.55
D   95  14.95  46.64
D  100  15.18  47.58
D  105  16.44  48.15
D  110  16.89  48.83
D  115  17.80  49.32
D  120  18.69  50.09
D  125  19.21  50.30
D  130  17.81  49.72
D  135  19.95  46.55
D  140  20.83  39.62
D  145  23.30  41.72
D  150  25.66  35.32
D  155  25.65  34.94
D  160  14.70  38.98
D  165  14.72  38.98
D  170  14.70  38.99
D  175  14.26  39.42
D  180  15.50  53.89
D  185  16.18  53.76
D  190  16.93  53.30
D  195  16.29  53.16
D  200  16.59  53.06
D  205  16.58  53.74
D  210  16.61  53.50
D  215  16.61  53.50
D  220  16.61  53.50
D  225  16.61  53.50
D  230  16.61  53.50
D  235  16.61  53.50
D  240  16.61  53.50
D  245  16.61  53.50
D  250  16.61  53.50
D  255  16.61  53.50
D  260  16.61  53.50
D  265  16.61  53.50
D  270  16.61  53.50
D  275  16.61  53.50
D  280  16.61  53.50
D  285  16.61  53.50
D  290  16.61  53.50
D  295  16.61  53.50
D  300  16.61  53.50
D  305  16.61  53.50
D  310  16.61  53.50
D  315  16.61  53.50
D  320  16.61  53.50
D  325  16.61  53.50
D  330  16.61  53.50
D  335  16.61  53.50
D  340  16.61  53.50
E  345  16.61  53.50
S 24/06/26 10:53:00
D    0 351.80   0.50
D    5 351.80   0.50
D   10 351.80   0.50
D   15 351.80   0.50
D   20 351.80   0.50
D   25 351.80   0.50
D   30 351.80   0.50
D   35 351.80   0.50
D   40 351.80   0.50
D   45 351.80   0.50
D   50 351.80   0.50
D   55 351.80   0.50
D   60 351.80   0.50
D   65 351.80   0.50
D   70 351.80   0.50
D   75 351.80   0.50
D   80 351.80   0.50
D   85 351.80   0.50
D   90 351.80   0.50
D   95 351.80   0.50
D  100 351.80   0.50
D  105 351.80   0.56
D  110 351.82   0.56
D  115 351.81   0.56
D  120 351.81   0.56
D  125 351.81   0.56
D  130 356.34  18.40
D  135 359.55  31.37
D  140 358.11  37.21
D  145 356.72  38.00
D  150   1.38  30.66
D  155 356.67  21.04
