time_sec,azimuth,elevation,realaz
2025-09-01 12:17:08,101.19,46.14,-29.11500000000001
2025-09-01 12:17:13,102.02,46.48,-28.28500000000001
2025-09-01 12:17:18,99.12,47.57,-31.185000000000002
2025-09-01 12:17:23,97.97,47.25,-32.33500000000001
2025-09-01 12:17:28,99.29,44.69,-31.015
2025-09-01 12:17:33,100.77,47.26,-29.53500000000001
2025-09-01 12:17:38,110.25,46.96,-20.055000000000007
2025-09-01 12:17:43,110.24,48.09,-20.065000000000012
2025-09-01 12:17:48,104.93,46.26,-25.375
2025-09-01 12:17:53,104.09,43.79,-26.215000000000003
2025-09-01 12:17:58,100.51,42.88,-29.795
2025-09-01 12:18:03,102.08,44.89,-28.22500000000001
2025-09-01 12:18:08,95.78,44.2,-34.525000000000006
2025-09-01 12:18:13,90.98,45.38,-39.325
2025-09-01 12:18:18,86.29,46.56,-44.015
2025-09-01 12:18:23,83.3,46.27,-47.00500000000001
2025-09-01 12:18:28,84.71,45.93,-45.59500000000001
2025-09-01 12:18:33,91.76,45.71,-38.545
2025-09-01 12:18:38,91.07,44.33,-39.235000000000014
2025-09-01 12:18:43,98.2,45.02,-32.105000000000004
2025-09-01 12:18:48,105.93,42.2,-24.375
2025-09-01 12:18:53,103.17,43.75,-27.135000000000005
2025-09-01 12:18:58,107.07,45.28,-23.235000000000014
2025-09-01 12:19:03,109.27,47.95,-21.03500000000001
2025-09-01 12:19:08,102.28,45.39,-28.025000000000006
2025-09-01 12:19:13,102.62,46.22,-27.685000000000002
2025-09-01 12:19:18,97.5,47.16,-32.80500000000001
2025-09-01 12:19:23,99.43,48.06,-30.875
2025-09-01 12:19:28,99.18,49.47,-31.125
2025-09-01 12:19:33,102.91,48.02,-27.39500000000001
2025-09-01 12:19:38,104.22,50.84,-26.085000000000008
2025-09-01 12:19:43,106.8,51.89,-23.50500000000001
2025-09-01 12:19:48,108.4,50.13,-21.905
2025-09-01 12:19:53,108.24,47.81,-22.065000000000012
2025-09-01 12:19:58,109.35,46.83,-20.955000000000013
2025-09-01 12:20:03,110.2,47.9,-20.105000000000004
2025-09-01 12:20:08,106.33,49.23,-23.97500000000001
2025-09-01 12:20:13,103.05,49.41,-27.25500000000001
2025-09-01 12:20:18,102.1,45.98,-28.205000000000013
2025-09-01 12:20:23,103.13,43.98,-27.17500000000001
2025-09-01 12:20:28,97.14,48.84,-33.165000000000006
2025-09-01 12:20:33,92.24,49.13,-38.06500000000001
2025-09-01 12:20:38,94.66,50.3,-35.64500000000001
2025-09-01 12:20:43,92.37,48.7,-37.935
2025-09-01 12:20:48,89.11,47.11,-41.19500000000001
2025-09-01 12:20:53,93.57,48.59,-36.735000000000014
2025-09-01 12:20:58,98.33,46.64,-31.97500000000001
2025-09-01 12:21:03,106.81,45.66,-23.495000000000005
2025-09-01 12:21:08,113.98,49.95,-16.325000000000003
2025-09-01 12:21:13,112.27,51.96,-18.03500000000001
2025-09-01 12:21:18,113.29,50.59,-17.015
2025-09-01 12:21:23,115.19,51.72,-15.115000000000009
2025-09-01 12:21:28,121.21,53.14,-9.095000000000013
2025-09-01 12:21:33,118.49,53.12,-11.815000000000012
2025-09-01 12:21:38,114.43,55.41,-15.875
2025-09-01 12:21:43,112.25,55.98,-18.055000000000007
2025-09-01 12:21:48,108.78,55.31,-21.525000000000006
