time_sec,azimuth,elevation,realaz
2025-09-01 08:48:09,47.78,39.34,-11.809999999999974
2025-09-01 08:48:14,51.61,39.64,-7.979999999999976
2025-09-01 08:48:19,53.33,38.83,-6.259999999999977
2025-09-01 08:48:24,53.2,38.67,-6.389999999999972
2025-09-01 08:48:29,56.96,39.53,-2.629999999999974
2025-09-01 08:48:34,59.46,42.48,-0.12999999999997414
2025-09-01 08:48:39,57.05,44.16,-2.539999999999978
2025-09-01 08:48:44,53.01,46.4,-6.579999999999977
2025-09-01 08:48:49,51.84,47.17,-7.749999999999972
2025-09-01 08:48:54,55.31,49.68,-4.279999999999973
2025-09-01 08:48:59,58.53,49.3,-1.0599999999999739
2025-09-01 08:49:04,59.71,48.77,0.12000000000002586
2025-09-01 08:49:09,63.43,49.09,3.8400000000000247
2025-09-01 08:49:14,59.31,50.15,-0.2799999999999727
2025-09-01 08:49:19,56.68,50.12,-2.9099999999999753
2025-09-01 08:49:24,55.39,50.43,-4.199999999999974
2025-09-01 08:49:29,53.5,49.77,-6.089999999999975
2025-09-01 08:49:34,55.55,46.26,-4.039999999999978
2025-09-01 08:49:39,55.55,44.5,-4.039999999999978
2025-09-01 08:49:44,59.41,46.3,-0.1799999999999784
2025-09-01 08:49:49,61.85,51.05,2.2600000000000264
2025-09-01 08:49:54,61.88,49.35,2.2900000000000276
2025-09-01 08:49:59,63.2,43.97,3.610000000000028
2025-09-01 08:50:04,61.71,41.88,2.120000000000026
2025-09-01 08:50:09,58.1,41.14,-1.4899999999999736
2025-09-01 08:50:14,54.65,43.22,-4.939999999999976
2025-09-01 08:50:19,54.1,44.52,-5.489999999999974
2025-09-01 08:50:24,51.3,43.43,-8.289999999999978
2025-09-01 08:50:29,49.74,43.23,-9.849999999999973
2025-09-01 08:50:34,50.12,43.13,-9.469999999999978
2025-09-01 08:50:39,49.65,44.03,-9.939999999999976
2025-09-01 08:50:44,54.62,40.96,-4.9699999999999775
2025-09-01 08:50:49,55.1,39.62,-4.489999999999974
2025-09-01 08:50:54,54.13,41.33,-5.459999999999972
2025-09-01 08:50:59,54.24,43.18,-5.349999999999973
2025-09-01 08:51:04,52.82,44.15,-6.769999999999975
2025-09-01 08:51:09,51.77,40.35,-7.819999999999972
2025-09-01 08:51:14,49.65,39.63,-9.939999999999976
2025-09-01 08:51:19,53.13,38.32,-6.459999999999972
2025-09-01 08:51:24,55.51,40.83,-4.079999999999977
2025-09-01 08:51:29,60.02,41.33,0.43000000000002814
2025-09-01 08:51:34,60.69,40.75,1.1000000000000227
2025-09-01 08:51:39,57.88,42.55,-1.7099999999999724
2025-09-01 08:51:44,56.98,41.43,-2.609999999999978
2025-09-01 08:51:49,59.45,45.38,-0.13999999999997215
2025-09-01 08:51:54,57.54,47.51,-2.049999999999976
2025-09-01 08:51:59,59.96,46.48,0.37000000000002586
2025-09-01 08:52:04,61.04,42.9,1.4500000000000242
2025-09-01 08:52:09,61.05,40.98,1.4600000000000222
2025-09-01 08:52:14,59.18,39.12,-0.4099999999999753
2025-09-01 08:52:19,60.2,39.06,0.6100000000000279
2025-09-01 08:52:24,57.49,37.94,-2.099999999999973
2025-09-01 08:52:29,56.9,37.77,-2.6899999999999764
2025-09-01 08:52:34,60.7,41.67,1.1100000000000279
2025-09-01 08:52:39,64.38,43.03,4.7900000000000205
2025-09-01 08:52:44,60.44,44.15,0.8500000000000227
2025-09-01 08:52:49,56.88,47.47,-2.7099999999999724
2025-09-01 08:52:54,53.05,45.19,-6.539999999999978
2025-09-01 08:52:59,53.15,44.52,-6.439999999999976
2025-09-01 08:53:04,50.07,43.54,-9.519999999999975
2025-09-01 08:53:09,54.0,41.42,-5.589999999999975
2025-09-01 08:53:14,56.51,43.93,-3.079999999999977
2025-09-01 08:53:19,60.33,47.14,0.7400000000000233
2025-09-01 08:53:24,58.2,45.69,-1.3899999999999721
2025-09-01 08:53:29,54.34,47.24,-5.249999999999972
2025-09-01 08:53:34,52.74,45.84,-6.849999999999973
2025-09-01 08:53:39,52.9,44.35,-6.689999999999976
2025-09-01 08:53:44,54.54,42.07,-5.049999999999976
2025-09-01 08:53:49,53.91,40.98,-5.679999999999978
2025-09-01 08:53:54,53.37,40.38,-6.2199999999999775
2025-09-01 08:53:59,60.13,40.73,0.5400000000000276
2025-09-01 08:54:04,61.45,40.01,1.8600000000000279
2025-09-01 08:54:09,58.86,41.3,-0.7299999999999756
2025-09-01 08:54:14,56.56,39.65,-3.0299999999999727
2025-09-01 08:54:19,54.7,39.35,-4.889999999999972
2025-09-01 08:54:24,51.72,42.63,-7.869999999999976
2025-09-01 08:54:29,53.18,42.11,-6.409999999999975
2025-09-01 08:54:34,52.21,44.25,-7.379999999999974
2025-09-01 08:54:39,48.8,43.58,-10.789999999999978
2025-09-01 08:54:44,51.81,43.45,-7.779999999999973
2025-09-01 08:54:49,54.94,46.4,-4.649999999999977
2025-09-01 08:54:54,54.1,47.48,-5.489999999999974
2025-09-01 08:54:59,48.15,46.82,-11.439999999999976
2025-09-01 08:55:04,50.17,46.23,-9.419999999999973
2025-09-01 08:55:09,54.76,45.83,-4.829999999999977
2025-09-01 08:55:14,55.65,46.45,-3.9399999999999764
2025-09-01 08:55:19,58.43,47.22,-1.1599999999999753
2025-09-01 08:55:24,60.52,45.29,0.9300000000000281
2025-09-01 08:55:29,60.31,43.01,0.7200000000000273
2025-09-01 08:55:34,60.63,41.52,1.0400000000000276
2025-09-01 08:55:39,59.39,42.6,-0.19999999999997442
2025-09-01 08:55:44,55.2,42.09,-4.389999999999972
2025-09-01 08:55:49,51.8,45.51,-7.789999999999978
2025-09-01 08:55:54,50.79,44.35,-8.799999999999976
2025-09-01 08:55:59,50.74,46.48,-8.849999999999973
