S 25/02/19 08:28:56
D    0 349.01   6.38
D    5 349.01   6.38
D   10 349.01   6.38
D   15 349.01   6.38
D   20 349.01   6.38
D   25 349.01   6.38
D   30 349.01   6.38
E   35 349.02   6.38
S 25/02/19 08:29:37
D    0  21.63   6.38
E    3  21.62   6.38
S 25/02/19 08:40:53
D    0  84.96   6.52
D    5  84.96   6.52
E   10  84.96   6.52
S 25/02/20 09:48:30
D    0 234.83 359.56
D    5 234.83 359.56
D   10 234.83 359.56
D   15 234.83 359.56
D   20 234.83 359.56
D   25 234.83 359.56
D   30 234.81 359.56
D   35 234.81 359.59
D   40 234.81 359.59
D   45 242.36   6.76
D   50 254.50   9.67
D   55 261.54  11.85
D   60 266.35  12.80
D   65 270.03  13.60
D   70 273.73  15.59
D   75 277.06  20.00
D   80 281.32  24.48
D   85 285.71  25.77
D   90 288.97  27.30
D   95 290.78  28.40
D  100 293.25  29.51
D  105 293.27  29.33
D  110 295.50  29.75
D  115 295.95  29.68
D  120 295.95  29.71
D  125 296.51  29.73
D  130 297.47  29.76
D  135 298.36  31.17
D  140 295.17  31.09
D  145 295.19  31.10
D  150 295.19  31.10
D  155 295.19  31.10
D  160 295.19  31.10
D  165 295.19  31.10
D  170 295.19  31.10
D  175 295.19  31.10
D  180 295.19  31.10
D  185 295.19  31.10
D  190 295.19  31.10
D  195 295.19  31.10
D  200 295.19  31.10
D  205 295.19  31.10
D  210 295.19  31.10
D  215 295.19  31.10
D  220 295.19  31.10
D  225 295.19  31.10
D  230 295.19  31.10
D  235 295.19  31.10
D  240 295.19  31.10
D  245 295.19  31.10
D  250 295.19  31.10
D  255 295.19  31.10
D  260 295.19  31.10
D  265 295.19  31.10
D  270 295.19  31.10
D  275 295.19  31.10
D  280 295.19  31.10
D  285 295.19  31.10
D  290 295.19  31.10
D  295 295.19  31.10
D  300 295.19  31.10
D  305 295.19  31.10
D  310 295.19  31.10
D  315 295.19  31.10
D  320 295.19  31.10
D  325 295.19  31.10
D  330 295.19  31.10
D  335 295.19  31.10
D  340 295.19  31.10
D  345 295.19  31.10
D  350 295.19  31.10
D  355 295.19  31.10
D  360 295.19  31.10
D  365 295.19  31.10
D  370 295.19  31.10
D  375 295.19  31.10
D  380 295.19  31.10
D  385 295.19  31.10
D  390 295.19  31.10
D  395 295.19  31.10
D  400 295.19  31.10
D  405 295.19  31.10
D  410 295.19  31.10
D  415 295.19  31.10
D  420 295.19  31.10
D  425 295.19  31.10
D  430 295.19  31.10
D  435 295.19  31.10
D  440 295.19  31.10
D  445 295.19  31.10
D  450 295.19  31.10
D  455 295.19  31.10
D  460 295.19  31.10
D  465 295.19  31.10
D  470 295.19  31.10
D  475 295.19  31.10
D  480 295.19  31.10
D  485 295.19  31.10
D  490 295.19  31.10
D  495 295.19  31.10
D  500 295.19  31.10
D  505 295.19  31.10
D  510 295.19  31.10
D  515 295.19  31.10
D  520 295.19  31.10
D  525 295.19  31.10
D  530 295.19  31.10
D  535 295.19  31.10
D  540 295.19  31.10
D  545 295.19  31.10
D  550 295.19  31.10
D  555 295.19  31.10
D  560 295.19  31.10
D  565 295.19  31.10
D  570 295.19  31.10
D  575 295.19  31.10
D  580 295.19  31.10
D  585 295.19  31.10
D  590 295.19  31.10
D  595 295.19  31.10
D  600 295.19  31.10
D  605 295.19  31.10
D  610 295.19  31.10
D  615 295.19  31.10
D  620 295.19  31.10
D  625 295.19  31.10
D  630 295.19  31.10
D  635 295.19  31.10
D  640 295.19  31.10
D  645 295.19  31.10
D  650 295.19  31.10
D  655 295.19  31.10
