time_sec,azimuth,elevation,realaz
2025-08-29 08:31:08,191.89,24.63,62.711221221221194
2025-08-29 08:31:13,192.64,24.31,63.461221221221194
2025-08-29 08:31:18,192.31,25.62,63.13122122122121
2025-08-29 08:31:23,194.07,26.44,64.8912212212212
2025-08-29 08:31:28,195.4,26.85,66.22122122122121
2025-08-29 08:31:33,196.18,26.16,67.00122122122121
2025-08-29 08:31:38,195.7,25.79,66.5212212212212
2025-08-29 08:31:43,193.83,25.77,64.65122122122122
2025-08-29 08:31:48,193.81,26.03,64.63122122122121
2025-08-29 08:31:53,194.95,26.24,65.7712212212212
2025-08-29 08:31:58,194.27,23.0,65.09122122122122
2025-08-29 08:32:03,193.58,20.96,64.40122122122122
2025-08-29 08:32:08,192.65,19.59,63.471221221221214
2025-08-29 08:32:13,193.76,20.28,64.5812212212212
2025-08-29 08:32:18,194.38,21.6,65.2012212212212
2025-08-29 08:32:23,196.62,22.14,67.44122122122121
2025-08-29 08:32:28,199.14,22.44,69.9612212212212
2025-08-29 08:32:33,200.63,20.98,71.4512212212212
2025-08-29 08:32:38,198.78,19.9,69.60122122122121
2025-08-29 08:32:43,198.65,19.86,69.47122122122121
2025-08-29 08:32:48,199.05,20.53,69.87122122122122
2025-08-29 08:32:53,198.4,21.04,69.22122122122121
2025-08-29 08:32:58,197.91,21.6,68.7312212212212
2025-08-29 08:33:03,197.61,22.06,68.43122122122122
2025-08-29 08:33:08,196.52,21.97,67.34122122122122
2025-08-29 08:33:13,195.36,21.15,66.18122122122122
2025-08-29 08:33:18,194.21,21.17,65.03122122122122
2025-08-29 08:33:23,193.03,21.25,63.85122122122121
2025-08-29 08:33:28,192.75,20.87,63.57122122122121
2025-08-29 08:33:33,192.95,20.65,63.7712212212212
2025-08-29 08:33:38,194.28,19.58,65.10122122122121
2025-08-29 08:33:43,194.83,19.4,65.65122122122122
2025-08-29 08:33:48,196.08,20.34,66.90122122122122
2025-08-29 08:33:53,195.82,21.58,66.6412212212212
2025-08-29 08:33:58,195.89,21.62,66.7112212212212
2025-08-29 08:34:03,195.96,21.66,66.78122122122122
2025-08-29 08:34:08,194.83,22.26,65.65122122122122
2025-08-29 08:34:13,194.25,25.31,65.07122122122121
2025-08-29 08:34:18,193.15,27.75,63.971221221221214
2025-08-29 08:34:23,191.27,27.3,62.09122122122122
2025-08-29 08:34:28,194.49,27.53,65.31122122122122
2025-08-29 08:34:33,194.42,27.9,65.2412212212212
2025-08-29 08:34:38,193.8,27.69,64.62122122122122
2025-08-29 08:34:43,192.5,30.21,63.32122122122121
2025-08-29 08:34:48,191.89,26.67,62.711221221221194
2025-08-29 08:34:53,191.93,22.71,62.751221221221215
2025-08-29 08:34:58,192.56,17.06,63.38122122122121
2025-08-29 08:35:03,193.33,15.88,64.15122122122122
2025-08-29 08:35:08,193.66,17.28,64.4812212212212
2025-08-29 08:35:13,190.68,18.87,61.501221221221215
2025-08-29 08:35:18,191.18,22.26,62.001221221221215
2025-08-29 08:35:23,189.33,25.62,60.15122122122122
2025-08-29 08:35:28,189.1,25.45,59.9212212212212
2025-08-29 08:35:33,188.96,25.32,59.781221221221216
2025-08-29 08:35:38,189.26,25.55,60.0812212212212
2025-08-29 08:35:43,195.76,29.13,66.5812212212212
2025-08-29 08:35:48,192.87,30.21,63.69122122122121
2025-08-29 08:35:53,192.68,27.8,63.501221221221215
2025-08-29 08:35:58,192.68,25.65,63.501221221221215
2025-08-29 08:36:03,192.84,23.36,63.66122122122121
2025-08-29 08:36:08,191.13,20.76,61.9512212212212
2025-08-29 08:36:13,190.26,18.96,61.0812212212212
2025-08-29 08:36:18,189.23,20.36,60.0512212212212
2025-08-29 08:36:23,189.28,22.81,60.10122122122121
2025-08-29 08:36:28,189.84,25.27,60.66122122122121
2025-08-29 08:36:33,189.48,24.15,60.3012212212212
2025-08-29 08:36:38,192.2,26.55,63.0212212212212
2025-08-29 08:36:43,192.33,26.62,63.15122122122122
2025-08-29 08:36:48,193.36,29.22,64.18122122122122
2025-08-29 08:36:53,193.91,30.82,64.7312212212212
2025-08-29 08:36:58,194.3,27.45,65.12122122122122
2025-08-29 08:37:03,194.35,26.32,65.1712212212212
2025-08-29 08:37:08,194.36,24.64,65.18122122122122
2025-08-29 08:37:13,195.14,22.68,65.9612212212212
2025-08-29 08:37:18,196.25,22.26,67.07122122122121
2025-08-29 08:37:23,196.11,24.01,66.93122122122122
2025-08-29 08:37:28,196.16,25.23,66.9812212212212
2025-08-29 08:37:33,197.0,24.71,67.82122122122121
2025-08-29 08:37:38,197.27,23.07,68.09122122122122
2025-08-29 08:37:43,196.15,23.15,66.97122122122121
2025-08-29 08:37:48,195.07,23.25,65.8912212212212
2025-08-29 08:37:53,194.17,25.05,64.9912212212212
2025-08-29 08:37:58,194.77,27.27,65.59122122122122
2025-08-29 08:38:03,193.48,26.91,64.3012212212212
2025-08-29 08:38:08,192.28,26.36,63.10122122122121
2025-08-29 08:38:13,192.51,24.11,63.3312212212212
2025-08-29 08:38:18,192.51,21.36,63.3312212212212
2025-08-29 08:38:23,193.11,20.67,63.93122122122122
2025-08-29 08:38:28,192.8,19.44,63.62122122122122
2025-08-29 08:38:33,192.8,21.72,63.62122122122122
2025-08-29 08:38:38,191.58,21.34,62.40122122122122
2025-08-29 08:38:43,191.37,22.57,62.19122122122121
2025-08-29 08:38:48,190.88,21.68,61.7012212212212
2025-08-29 08:38:53,190.07,23.61,60.8912212212212
2025-08-29 08:38:58,190.22,24.29,61.04122122122121
2025-08-29 08:39:03,189.56,22.79,60.38122122122121
2025-08-29 08:39:08,190.8,20.99,61.62122122122122
2025-08-29 08:39:13,191.2,19.75,62.0212212212212
2025-08-29 08:39:18,193.26,20.65,64.0812212212212
2025-08-29 08:39:23,195.96,19.2,66.78122122122122
2025-08-29 08:39:28,195.67,19.4,66.4912212212212
2025-08-29 08:39:33,197.22,20.0,68.0412212212212
2025-08-29 08:39:38,197.82,20.1,68.6412212212212
2025-08-29 08:39:43,198.23,19.08,69.0512212212212
2025-08-29 08:39:48,197.91,18.47,68.7312212212212
2025-08-29 08:39:53,199.36,17.82,70.18122122122122
2025-08-29 08:39:58,200.03,18.48,70.85122122122121
2025-08-29 08:40:03,199.31,19.26,70.13122122122121
2025-08-29 08:40:08,198.13,19.32,68.9512212212212
2025-08-29 08:40:13,198.71,18.58,69.53122122122122
2025-08-29 08:40:18,198.86,18.36,69.68122122122122
2025-08-29 08:40:23,200.21,20.17,71.03122122122122
2025-08-29 08:40:28,202.16,22.62,72.9812212212212
2025-08-29 08:40:33,202.9,21.75,73.72122122122121
2025-08-29 08:40:38,203.1,20.52,73.9212212212212
2025-08-29 08:40:43,201.98,21.38,72.8012212212212
2025-08-29 08:40:48,201.42,21.3,72.2412212212212
2025-08-29 08:40:53,199.72,21.37,70.5412212212212
2025-08-29 08:40:58,200.27,21.75,71.09122122122122
2025-08-29 08:41:03,199.44,20.27,70.2612212212212
2025-08-29 08:41:08,199.71,18.96,70.53122122122122
2025-08-29 08:41:13,199.67,20.23,70.4912212212212
2025-08-29 08:41:18,200.37,20.9,71.19122122122121
2025-08-29 08:41:23,202.87,22.61,73.69122122122121
2025-08-29 08:41:28,202.68,23.18,73.50122122122121
2025-08-29 08:41:33,203.51,24.11,74.3312212212212
2025-08-29 08:41:38,200.85,26.66,71.6712212212212
2025-08-29 08:41:43,199.48,27.33,70.3012212212212
2025-08-29 08:41:48,198.98,29.2,69.8012212212212
2025-08-29 08:41:53,197.81,28.01,68.63122122122121
2025-08-29 08:41:58,197.07,28.76,67.8912212212212
2025-08-29 08:42:03,195.39,27.8,66.2112212212212
2025-08-29 08:42:08,195.47,25.93,66.2912212212212
2025-08-29 08:42:13,194.8,24.38,65.62122122122122
2025-08-29 08:42:18,193.07,25.15,63.8912212212212
2025-08-29 08:42:23,193.87,27.03,64.69122122122121
2025-08-29 08:42:28,194.58,27.14,65.40122122122122
2025-08-29 08:42:33,192.8,26.58,63.62122122122122
2025-08-29 08:42:38,193.3,27.33,64.12122122122122
2025-08-29 08:42:43,191.92,25.36,62.741221221221195
2025-08-29 08:42:48,191.95,23.27,62.7712212212212
2025-08-29 08:42:53,195.06,21.95,65.88122122122121
2025-08-29 08:42:58,196.61,20.23,67.43122122122122
2025-08-29 08:43:03,198.73,19.28,69.5512212212212
2025-08-29 08:43:08,198.58,18.85,69.40122122122122
2025-08-29 08:43:13,199.37,16.84,70.19122122122121
2025-08-29 08:43:18,199.18,16.87,70.00122122122121
2025-08-29 08:43:23,199.08,18.5,69.90122122122122
2025-08-29 08:43:28,199.18,17.53,70.00122122122121
2025-08-29 08:43:33,199.43,18.0,70.25122122122121
2025-08-29 08:43:38,199.73,18.37,70.5512212212212
2025-08-29 08:43:43,199.84,20.33,70.66122122122121
2025-08-29 08:43:48,198.9,19.37,69.72122122122121
