time_sec,azimuth,elevation,realaz
2025-09-01 12:17:09,358.97,44.8,214.985
2025-09-01 12:17:14,358.35,45.28,214.365
2025-09-01 12:17:19,356.56,46.25,212.575
2025-09-01 12:17:24,356.4,45.11,212.41499999999996
2025-09-01 12:17:29,357.58,43.64,213.59499999999997
2025-09-01 12:17:34,1.86,45.68,-142.125
2025-09-01 12:17:39,8.28,46.29,-135.705
2025-09-01 12:17:44,7.21,46.66,-136.775
2025-09-01 12:17:49,3.25,44.57,-140.735
2025-09-01 12:17:54,359.35,42.65,215.365
2025-09-01 12:17:59,359.52,41.97,215.53499999999997
2025-09-01 12:18:04,359.81,43.7,215.825
2025-09-01 12:18:09,352.8,42.82,208.815
2025-09-01 12:18:14,348.69,44.82,204.70499999999998
2025-09-01 12:18:19,344.37,45.24,200.385
2025-09-01 12:18:24,341.72,44.92,197.735
2025-09-01 12:18:29,343.23,44.27,199.245
2025-09-01 12:18:34,349.94,44.39,205.95499999999998
2025-09-01 12:18:39,350.84,43.26,206.85499999999996
2025-09-01 12:18:44,0.11,40.94,-143.875
2025-09-01 12:18:49,5.23,41.6,-138.75500000000002
2025-09-01 12:18:54,1.0,42.28,-142.985
2025-09-01 12:18:59,5.9,44.73,-138.085
2025-09-01 12:19:04,6.13,47.11,-137.85500000000002
2025-09-01 12:19:09,358.02,45.03,214.03499999999997
2025-09-01 12:19:14,1.04,44.88,-142.94500000000002
2025-09-01 12:19:19,354.77,46.03,210.78499999999997
2025-09-01 12:19:24,354.87,46.21,210.885
2025-09-01 12:19:29,357.63,49.1,213.64499999999998
2025-09-01 12:19:34,0.66,46.85,-143.32500000000002
2025-09-01 12:19:39,4.53,50.52,-139.455
2025-09-01 12:19:44,5.01,49.91,-138.97500000000002
2025-09-01 12:19:49,6.23,48.23,-137.75500000000002
2025-09-01 12:19:54,6.04,46.5,-137.94500000000002
2025-09-01 12:19:59,7.03,45.91,-136.955
2025-09-01 12:20:04,7.48,47.08,-136.50500000000002
2025-09-01 12:20:09,3.89,47.88,-140.09500000000003
2025-09-01 12:20:14,0.82,47.8,-143.16500000000002
2025-09-01 12:20:19,0.07,44.5,-143.91500000000002
2025-09-01 12:20:24,0.4,43.29,-143.585
2025-09-01 12:20:29,352.52,47.29,208.53499999999997
2025-09-01 12:20:34,350.9,47.63,206.91499999999996
2025-09-01 12:20:39,353.14,48.74,209.15499999999997
