time,azimuth,elevation
11:10,235.71,34.2
11:15,239.34,31.23
11:21,231.76,27.11
11:22,241.48,35.43
11:23,243.93,34.85
11:24,226.45,35.73
11:25,233.05,26.31
11:26,241.54,35.5
11:27,233.41,41.16
11:28,226.27,40.18
11:29,230.06,39.03
11:30,-300,45.2
11:31,242.63,42.73
11:32,244.1,36.34
11:33,243.13,32.15
11:34,243.12,38.07
11:35,236.24,35.25
11:36,246.3,38.8
11:37,258.06,36.97
11:38,238,34.74
11:39,238.77,49.5
11:45,242.42,28.33
11:46,252.44,33.93
11:47,250.91,27.15
11:48,241.89,41.36
11:49,247.59,24.23
11:50,246.83,25.26
11:51,237.06,32.35
11:52,236.51,36.46
11:53,244.37,29.85
