#=1440
$FirstDateTime=01.09.2025 00:00:00
$JSDBaseDateTime=27.03.1995 00:00:00
$FirstJSD=960422400
$TimeLagSec=60
$DefaultValue=99999
$Names=DATE;TIME;PTB_LAT;PTB_LON;PTB_ALT;PTB_SMP;PTB_P
01.09.2025;00:00;;;;5.55;1009.257
01.09.2025;00:01;;;;5.55;1009.273
01.09.2025;00:02;;;;5.55;1009.284
01.09.2025;00:03;;;;5.55;1009.276
01.09.2025;00:04;;;;5.55;1009.261
01.09.2025;00:05;;;;5.55;1009.265
01.09.2025;00:06;;;;5.55;1009.261
01.09.2025;00:07;;;;5.55;1009.246
01.09.2025;00:08;;;;5.5667;1009.254
01.09.2025;00:09;;;;11.2333;1009.251
01.09.2025;00:10;;;;5.5667;1009.247
01.09.2025;00:11;;;;5.55;1009.245
01.09.2025;00:12;;;;5.55;1009.26
01.09.2025;00:13;;;;5.55;1009.268
01.09.2025;00:14;;;;5.55;1009.268
01.09.2025;00:15;;;;5.55;1009.279
01.09.2025;00:16;;;;5.55;1009.289
01.09.2025;00:17;;;;5.55;1009.28
01.09.2025;00:18;;;;5.5667;1009.283
01.09.2025;00:19;;;;5.55;1009.298
01.09.2025;00:20;;;;5.55;1009.292
01.09.2025;00:21;;;;5.55;1009.299
01.09.2025;00:22;;;;5.55;1009.316
01.09.2025;00:23;;;;5.55;1009.331
01.09.2025;00:24;;;;5.55;1009.325
01.09.2025;00:25;;;;5.55;1009.348
01.09.2025;00:26;;;;5.5667;1009.36
01.09.2025;00:27;;;;5.55;1009.375
01.09.2025;00:28;;;;5.55;1009.394
01.09.2025;00:29;;;;5.55;1009.399
01.09.2025;00:30;;;;5.55;1009.389
01.09.2025;00:31;;;;5.55;1009.389
01.09.2025;00:32;;;;5.55;1009.393
01.09.2025;00:33;;;;5.55;1009.392
01.09.2025;00:34;;;;5.55;1009.387
01.09.2025;00:35;;;;5.5667;1009.378
01.09.2025;00:36;;;;5.55;1009.386
01.09.2025;00:37;;;;5.55;1009.403
01.09.2025;00:38;;;;5.55;1009.411
01.09.2025;00:39;;;;5.55;1009.421
01.09.2025;00:40;;;;5.55;1009.427
01.09.2025;00:41;;;;5.55;1009.434
01.09.2025;00:42;;;;5.55;1009.431
01.09.2025;00:43;;;;5.5667;1009.414
01.09.2025;00:44;;;;5.55;1009.409
01.09.2025;00:45;;;;5.55;1009.394
01.09.2025;00:46;;;;5.55;1009.406
01.09.2025;00:47;;;;5.55;1009.4
01.09.2025;00:48;;;;5.55;1009.405
01.09.2025;00:49;;;;5.55;1009.411
01.09.2025;00:50;;;;5.55;1009.417
01.09.2025;00:51;;;;5.55;1009.409
01.09.2025;00:52;;;;5.5667;1009.394
01.09.2025;00:53;;;;5.55;1009.385
01.09.2025;00:54;;;;5.55;1009.385
01.09.2025;00:55;;;;5.55;1009.385
01.09.2025;00:56;;;;5.55;1009.375
01.09.2025;00:57;;;;5.55;1009.393
01.09.2025;00:58;;;;5.55;1009.389
01.09.2025;00:59;;;;5.55;1009.397
01.09.2025;01:00;;;;5.55;1009.394
01.09.2025;01:01;;;;5.55;1009.399
01.09.2025;01:02;;;;5.55;1009.397
01.09.2025;01:03;;;;5.5667;1009.404
01.09.2025;01:04;;;;5.55;1009.403
01.09.2025;01:05;;;;5.55;1009.408
01.09.2025;01:06;;;;5.55;1009.394
01.09.2025;01:07;;;;5.55;1009.383
01.09.2025;01:08;;;;5.55;1009.387
01.09.2025;01:09;;;;5.55;1009.368
01.09.2025;01:10;;;;5.55;1009.366
01.09.2025;01:11;;;;5.55;1009.38
01.09.2025;01:12;;;;5.55;1009.358
01.09.2025;01:13;;;;5.5667;1009.371
01.09.2025;01:14;;;;5.55;1009.361
01.09.2025;01:15;;;;5.55;1009.377
01.09.2025;01:16;;;;5.55;1009.383
01.09.2025;01:17;;;;5.55;1009.381
01.09.2025;01:18;;;;5.55;1009.381
01.09.2025;01:19;;;;5.55;1009.383
01.09.2025;01:20;;;;5.55;1009.356
01.09.2025;01:21;;;;5.55;1009.366
01.09.2025;01:22;;;;5.55;1009.356
01.09.2025;01:23;;;;5.5667;1009.365
01.09.2025;01:24;;;;5.55;1009.354
01.09.2025;01:25;;;;5.55;1009.362
01.09.2025;01:26;;;;5.55;1009.359
