time,coordinates
20160901_114000,"[(np.int64(255), np.int64(635))]"
20160901_114100,"[(np.int64(742), np.int64(556))]"
20160901_114200,"[(np.int64(510), np.int64(738))]"
20160901_114300,"[(np.int64(560), np.int64(617))]"
20160901_114400,"[(np.int64(680), np.int64(875))]"
20160901_114500,"[(np.int64(718), np.int64(997))]"
20160901_114600,"[(np.int64(501), np.int64(1247))]"
20160901_114700,"[(np.int64(576), np.int64(600))]"
20160901_114800,"[(np.int64(544), np.int64(610))]"
20160901_114900,"[(np.int64(476), np.int64(608))]"
20160901_115000,"[(np.int64(1101), np.int64(511))]"
20160901_115100,"[(np.int64(512), np.int64(747))]"
20160901_115200,"[(np.int64(604), np.int64(788))]"
20160901_115300,"[(np.int64(688), np.int64(1116))]"
20160901_115400,"[(np.int64(771), np.int64(980))]"
20160901_115500,"[(np.int64(871), np.int64(1320))]"
20160901_115600,"[(np.int64(1047), np.int64(1203))]"
20160901_115700,"[(np.int64(888), np.int64(1481))]"
20160901_115800,"[(np.int64(822), np.int64(1434))]"
20160901_115900,"[(np.int64(844), np.int64(1566))]"
20160901_120000,"[(np.int64(957), np.int64(1274))]"
20160901_120100,"[(np.int64(839), np.int64(1402))]"
20160901_120200,"[(np.int64(1082), np.int64(1431))]"
20160901_120300,"[(np.int64(1073), np.int64(1630))]"
20160901_120400,"[(np.int64(1042), np.int64(1494))]"
20160901_120500,"[(np.int64(679), np.int64(743))]"
20160901_120600,"[(np.int64(725), np.int64(831))]"
20160901_120700,"[(np.int64(1011), np.int64(1371))]"
20160901_120800,"[(np.int64(1069), np.int64(1605))]"
20160901_120900,"[(np.int64(958), np.int64(1417))]"
20160901_121000,"[(np.int64(1079), np.int64(1423))]"
20160901_121100,"[(np.int64(992), np.int64(1516))]"
20160901_121200,"[(np.int64(992), np.int64(1572))]"
20160901_121300,"[(np.int64(1177), np.int64(1313))]"
20160901_121400,"[(np.int64(1005), np.int64(1284))]"
20160901_121500,"[(np.int64(1113), np.int64(1458))]"
20160901_121600,"[(np.int64(1165), np.int64(1386))]"
20160901_121700,"[(np.int64(1104), np.int64(1533))]"
20160901_121800,"[(np.int64(1078), np.int64(1482))]"
20160901_121900,"[(np.int64(1016), np.int64(1299))]"
20160901_122000,"[(np.int64(1024), np.int64(1213))]"
20160901_122100,"[(np.int64(1103), np.int64(1468))]"
20160901_122200,"[(np.int64(1058), np.int64(1576))]"
20160901_122300,"[(np.int64(1027), np.int64(1550))]"
20160901_122400,"[(np.int64(1002), np.int64(1602))]"
20160901_122500,"[(np.int64(960), np.int64(1499))]"
20160901_122600,"[(np.int64(1054), np.int64(1585))]"
20160901_122700,"[(np.int64(971), np.int64(1229))]"
20160901_122800,"[(np.int64(900), np.int64(1438))]"
20160901_122900,"[(np.int64(802), np.int64(1582))]"
20160901_123000,"[(np.int64(799), np.int64(1504))]"
20160901_123100,"[(np.int64(1425), np.int64(1187))]"
20160901_123200,"[(np.int64(813), np.int64(802))]"
20160901_123300,"[(np.int64(608), np.int64(695))]"
20160901_123400,"[(np.int64(614), np.int64(730))]"
20160901_123500,"[(np.int64(607), np.int64(802))]"
20160901_123600,"[(np.int64(560), np.int64(919))]"
20160901_123700,"[(np.int64(255), np.int64(635))]"
20160901_123800,"[(np.int64(255), np.int64(635))]"
20160901_123900,"[(np.int64(255), np.int64(635))]"
