time,"coordinates [x,y]",elevation,azimuth
20250829_092900,"[1759, 1050]",20,354
20250829_092910,"[1745, 1055]",21,353
20250829_092920,"[1741, 1061]",22,353
20250829_092930,"[1717, 1109]",23,349
20250829_092940,"[1681, 1151]",26,345
20250829_092950,"[1688, 1160]",25,345
20250829_093000,"[1686, 1149]",25,345
20250829_093010,"[1648, 1072]",30,351
20250829_093020,"[1668, 1061]",29,352
20250829_093030,"[1659, 1135]",28,346
20250829_093040,"[1659, 1162]",27,344
20250829_093050,"[1647, 1207]",27,340
20250829_093100,"[1622, 1209]",29,339
20250829_093110,"[1648, 1231]",26,338
20250829_093120,"[1688, 1188]",24,343
20250829_093130,"[1664, 1155]",27,345
20250829_093140,"[1680, 1142]",26,346
20250829_093150,"[1685, 1156]",25,345
20250829_093200,"[1676, 1147]",26,345
20250829_093210,"[1716, 1179]",22,344
20250829_093220,"[1730, 1188]",20,344
20250829_093230,"[1720, 1157]",22,345
20250829_093240,"[1736, 1117]",21,349
20250829_093250,"[1751, 1133]",19,348
20250829_093300,"[1743, 1117]",20,349
20250829_093310,"[1725, 1140]",22,347
20250829_093320,"[1729, 1150]",21,346
20250829_093330,"[1718, 1183]",21,344
20250829_093340,"[1719, 1205]",21,342
20250829_093350,"[1738, 1183]",19,344
20250829_093400,"[1729, 1163]",21,345
20250829_093410,"[1718, 1163]",22,345
20250829_093420,"[1696, 1181]",23,343
20250829_093430,"[1642, 1208]",28,340
20250829_093440,"[1658, 1146]",28,345
20250829_093450,"[1623, 1191]",30,341
20250829_093500,"[1677, 1184]",25,343
20250829_093510,"[1770, 1200]",16,344
20250829_093520,"[1741, 1203]",18,343
20250829_093530,"[1668, 1224]",25,340
20250829_093540,"[1632, 1216]",28,339
20250829_093550,"[1612, 1162]",32,343
20250829_093600,"[1647, 1181]",28,342
20250829_093610,"[928, 411]",43,93
20250829_093620,"[1724, 1238]",19,340
20250829_093630,"[1688, 1245]",22,339
20250829_093640,"[1664, 1234]",25,339
20250829_093650,"[1663, 1191]",26,342
