time,"coordinates [x,y]",elevation,azimuth
20250901_131820,"[638, 1317]",49,228
20250901_131830,"[644, 1335]",49,230
20250901_131840,"[734, 1375]",50,241
20250901_131850,"[677, 1378]",47,236
20250901_131900,"[652, 1371]",47,233
20250901_131910,"[596, 1300]",48,223
20250901_131920,"[552, 1236]",48,214
20250901_131930,"[587, 1275]",49,220
20250901_131940,"[597, 1331]",46,226
20250901_131950,"[682, 1403]",46,238
20250901_132000,"[716, 1393]",48,241
20250901_132010,"[650, 1345]",48,231
20250901_132020,"[626, 1301]",50,226
20250901_132030,"[678, 1321]",51,232
20250901_132040,"[742, 1314]",55,238
20250901_132050,"[717, 1355]",51,238
20250901_132100,"[724, 1378]",49,241
20250901_132110,"[699, 1335]",51,235
20250901_132120,"[658, 1367]",47,233
20250901_132130,"[619, 1287]",50,224
20250901_132140,"[638, 1285]",51,225
20250901_132150,"[589, 1266]",49,220
20250901_132200,"[644, 1346]",48,231
20250901_132210,"[770, 1345]",54,244
20250901_132220,"[781, 1354]",54,246
20250901_132230,"[823, 1354]",55,251
20250901_132240,"[788, 1308]",57,244
20250901_132250,"[754, 1292]",57,238
20250901_132300,"[751, 1337]",54,241
20250901_132310,"[735, 1395]",49,243
20250901_132320,"[703, 1389]",48,239
20250901_132330,"[618, 1362]",45,230
20250901_132340,"[684, 1306]",53,231
20250901_132350,"[630, 1351]",47,230
20250901_132400,"[611, 1362]",45,229
20250901_132410,"[652, 1371]",47,233
20250901_132420,"[715, 1403]",47,241
20250901_132430,"[666, 1315]",51,230
20250901_132440,"[675, 1338]",50,233
20250901_132450,"[756, 1352]",53,243
20250901_132500,"[715, 1407]",47,241
20250901_132510,"[760, 1384]",50,245
20250901_132520,"[739, 1322]",54,239
20250901_132530,"[697, 1316]",53,234
20250901_132540,"[704, 1340]",51,236
20250901_132550,"[618, 1325]",48,227
20250901_132600,"[613, 1373]",44,230
20250901_132610,"[677, 1440]",43,239
20250901_132620,"[709, 1482]",41,244
20250901_132630,"[698, 1461]",42,242
20250901_132640,"[656, 1410]",44,236
20250901_132650,"[686, 1392]",47,238
20250901_132700,"[662, 1398]",45,236
20250901_132710,"[654, 1405]",44,235
20250901_132720,"[695, 1403]",46,239
20250901_132730,"[693, 1403]",46,239
20250901_132740,"[691, 1459]",42,242
20250901_132750,"[726, 1429]",46,243
20250901_132800,"[751, 1409]",48,245
20250901_132810,"[685, 1338]",51,234
20250901_132820,"[635, 1374]",45,232
20250901_132830,"[649, 1410]",44,235
20250901_132840,"[682, 1452]",42,241
20250901_132850,"[651, 1474]",39,239
20250901_132900,"[667, 1395]",46,236
20250901_132910,"[598, 1290]",49,222
20250901_132920,"[626, 1248]",53,221
20250901_132930,"[697, 1388]",48,238
20250901_132940,"[728, 1387]",49,241
20250901_132950,"[722, 1361]",51,239
20250901_133000,"[654, 1333]",49,231
20250901_133010,"[700, 1399]",47,239
20250901_133020,"[698, 1415]",46,240
20250901_133030,"[706, 1413]",46,241
20250901_133040,"[786, 1431]",48,250
20250901_133050,"[811, 1466]",45,254
20250901_133100,"[818, 1485]",44,255
20250901_133110,"[789, 1467]",45,251
20250901_133120,"[698, 1409]",46,240
20250901_133130,"[684, 1371]",48,236
20250901_133140,"[675, 1386]",47,236
20250901_133150,"[671, 1385]",46,236
20250901_133200,"[701, 1423]",45,241
20250901_133210,"[690, 1396]",47,238
20250901_133220,"[614, 1080]",59,199
20250901_133230,"[722, 1378]",49,240
20250901_133240,"[713, 1460]",43,244
20250901_133250,"[690, 1383]",48,237
20250901_133300,"[765, 1400]",49,246
20250901_133310,"[748, 1402]",49,244
20250901_133320,"[753, 1472]",43,248
20250901_133330,"[767, 1440]",46,248
20250901_133340,"[736, 1377]",50,242
20250901_133350,"[830, 1321]",58,250
20250901_133400,"[812, 1311]",58,247
20250901_133410,"[812, 1334]",56,248
20250901_133420,"[780, 1307]",57,243
20250901_133430,"[710, 1300]",54,234
20250901_133440,"[690, 1273]",55,229
20250901_133450,"[731, 1376]",50,241
20250901_133500,"[757, 1451]",45,248
20250901_133510,"[812, 1497]",43,255
20250901_133520,"[770, 1521]",40,251
20250901_133530,"[731, 1435]",45,244
20250901_133540,"[749, 1418]",47,245
20250901_133550,"[779, 1373]",52,246
20250901_133600,"[826, 1420]",50,254
20250901_133610,"[779, 1301]",58,242
20250901_133620,"[737, 1332]",53,239
20250901_133630,"[707, 1410]",46,241
20250901_133640,"[680, 1392]",46,237
20250901_133650,"[702, 1380]",48,238
20250901_133700,"[757, 1319]",55,241
20250901_133710,"[812, 1358]",54,250
20250901_133720,"[726, 1360]",51,240
20250901_133730,"[756, 1283]",58,238
20250901_133740,"[803, 1260]",62,242
20250901_133750,"[807, 1257]",62,243
20250901_133800,"[753, 1280]",58,237
20250901_133810,"[732, 1317]",54,237
20250901_133820,"[771, 1402]",49,247
20250901_133830,"[783, 1498]",42,252
20250901_133840,"[761, 1479]",43,249
