time,"coordinates [x,y]",elevation,azimuth
20250901_100430,"[722, 1418]",46,243
20250901_100440,"[699, 1417]",45,240
20250901_100450,"[645, 1390]",45,234
20250901_100500,"[693, 1389]",47,238
20250901_100510,"[745, 1410]",48,244
20250901_100520,"[717, 1396]",48,241
20250901_100530,"[707, 1424]",45,241
20250901_100540,"[781, 1480]",43,251
20250901_100550,"[781, 1426]",48,249
20250901_100600,"[746, 1387]",50,243
20250901_100610,"[727, 1349]",52,239
20250901_100620,"[636, 1311]",50,227
20250901_100630,"[722, 1385]",49,241
20250901_100640,"[632, 1329]",48,228
20250901_100650,"[633, 1266]",52,223
20250901_100700,"[716, 1297]",55,234
20250901_100710,"[755, 1386]",50,244
20250901_100720,"[715, 1469]",42,244
20250901_100730,"[749, 1456]",44,247
20250901_100740,"[755, 1378]",51,244
20250901_100750,"[791, 1406]",50,249
20250901_100800,"[716, 1423]",46,242
20250901_100810,"[775, 1453]",45,249
20250901_100820,"[757, 1451]",45,248
20250901_100830,"[716, 1394]",48,241
20250901_100840,"[683, 1380]",47,237
20250901_100850,"[733, 1382]",50,242
20250901_100900,"[756, 1309]",56,240
20250901_100910,"[818, 1262]",62,245
20250901_100920,"[810, 1303]",59,246
20250901_100930,"[735, 1411]",47,243
20250901_100940,"[736, 1473]",42,246
20250901_100950,"[772, 1421]",48,248
20250901_101000,"[675, 1450]",42,240
20250901_101010,"[607, 1416]",41,232
20250901_101020,"[559, 1303]",45,221
20250901_101030,"[769, 1301]",57,241
20250901_101040,"[809, 1360]",54,249
20250901_101050,"[727, 1367]",50,240
20250901_101100,"[696, 1353]",50,236
20250901_101110,"[714, 1352]",51,238
20250901_101120,"[751, 1388]",50,244
20250901_101130,"[768, 1401]",49,246
20250901_101140,"[709, 1347]",51,237
20250901_101150,"[707, 1332]",52,236
20250901_101200,"[686, 1275]",55,229
20250901_101210,"[739, 1268]",58,234
20250901_101220,"[765, 1296]",57,240
20250901_101230,"[824, 1312]",58,249
20250901_101240,"[830, 1315]",58,250
20250901_101250,"[791, 1358]",54,247
20250901_101300,"[692, 1461]",42,242
20250901_101310,"[743, 1435]",46,245
20250901_101320,"[778, 1424]",48,249
20250901_101330,"[793, 1449]",46,251
20250901_101340,"[789, 1389]",51,248
20250901_101350,"[832, 1344]",56,252
20250901_101400,"[874, 1288]",62,255
20250901_101410,"[864, 1263]",63,252
20250901_101420,"[770, 1319]",56,242
20250901_101430,"[737, 1313]",55,238
20250901_101440,"[685, 1367]",48,236
20250901_101450,"[605, 1365]",44,229
20250901_101500,"[661, 1400]",45,236
20250901_101510,"[751, 1302]",56,239
20250901_101520,"[654, 1332]",49,231
20250901_101530,"[1151, 757]",67,47
20250901_101540,"[754, 1419]",47,246
20250901_101550,"[1151, 757]",67,47
20250901_101600,"[726, 1370]",50,240
20250901_101610,"[677, 1415]",45,238
20250901_101620,"[712, 1413]",46,241
20250901_101630,"[770, 1374]",52,245
20250901_101640,"[776, 1360]",53,245
20250901_101650,"[743, 1373]",51,242
20250901_101700,"[744, 1370]",51,242
20250901_101710,"[658, 1381]",46,234
20250901_101720,"[722, 1426]",46,243
