time,"coordinates [x,y]",x_deviation,y_deviation,valid
20250901_133220,"[614, 1080]",-185.0668151447661,-347.07349665924266,False
20250901_134810,"[348, 402]",-451.0668151447661,-1025.0734966592427,False
20250901_134820,"[347, 404]",-452.0668151447661,-1023.0734966592427,False
20250901_134830,"[331, 428]",-468.0668151447661,-999.0734966592427,False
20250901_134840,"[331, 430]",-468.0668151447661,-997.0734966592427,False
20250901_134850,"[332, 427]",-467.0668151447661,-1000.0734966592427,False
20250901_134920,"[330, 437]",-469.0668151447661,-990.0734966592427,False
20250901_134940,"[314, 461]",-485.0668151447661,-966.0734966592427,False
20250901_134950,"[311, 467]",-488.0668151447661,-960.0734966592427,False
20250901_142350,"[1076, 1421]",276.9331848552339,-6.0734966592426645,False
20250901_142400,"[1061, 1501]",261.9331848552339,73.92650334075734,False
20250901_142610,"[1065, 1476]",265.9331848552339,48.926503340757336,False
