,time_sec,azimuth,elevation
0,2025-09-01 10:03:20,128.08,44.77
1,2025-09-01 10:03:25,126.49,44.55
2,2025-09-01 10:03:30,124.05,43.16
3,2025-09-01 10:03:35,124.63,40.96
4,2025-09-01 10:03:40,121.18,41.71
5,2025-09-01 10:03:45,117.61,42.56
6,2025-09-01 10:03:50,115.3,41.69
7,2025-09-01 10:03:55,118.85,41.5
8,2025-09-01 10:04:00,118.16,43.15
9,2025-09-01 10:04:05,120.01,45.41
10,2025-09-01 10:04:10,125.5,45.05
11,2025-09-01 10:04:15,125.65,42.58
12,2025-09-01 10:04:20,123.03,45.54
13,2025-09-01 10:04:25,120.36,44.56
14,2025-09-01 10:04:30,123.05,41.92
15,2025-09-01 10:04:35,124.1,40.19
16,2025-09-01 10:04:40,132.19,39.54
17,2025-09-01 10:04:45,130.71,43.6
18,2025-09-01 10:04:50,130.23,44.45
19,2025-09-01 10:04:55,125.76,48.15
20,2025-09-01 10:05:00,125.95,46.31
21,2025-09-01 10:05:05,122.15,47.77
22,2025-09-01 10:05:10,121.74,48.26
23,2025-09-01 10:05:15,113.25,47.16
24,2025-09-01 10:05:20,109.92,47.17
25,2025-09-01 10:05:25,113.18,45.55
26,2025-09-01 10:05:30,119.27,45.19
27,2025-09-01 10:05:35,118.71,45.11
28,2025-09-01 10:05:40,110.89,45.89
29,2025-09-01 10:05:45,110.09,46.09
30,2025-09-01 10:05:50,106.08,48.78
31,2025-09-01 10:05:55,107.83,47.88
32,2025-09-01 10:06:00,114.44,51.43
33,2025-09-01 10:06:05,124.2,48.71
34,2025-09-01 10:06:10,127.28,48.07
35,2025-09-01 10:06:15,124.35,43.53
36,2025-09-01 10:06:20,126.19,39.04
37,2025-09-01 10:06:25,125.89,38.36
38,2025-09-01 10:06:30,127.82,40.72
39,2025-09-01 10:06:35,124.71,41.35
40,2025-09-01 10:06:40,124.53,47.31
41,2025-09-01 10:06:45,127.2,45.9
42,2025-09-01 10:06:50,129.76,46.25
43,2025-09-01 10:06:55,125.66,46.24
44,2025-09-01 10:07:00,124.32,42.32
45,2025-09-01 10:07:05,124.92,39.49
46,2025-09-01 10:07:10,130.4,41.52
47,2025-09-01 10:07:15,132.05,42.59
48,2025-09-01 10:07:20,129.78,42.09
49,2025-09-01 10:07:25,126.04,42.61
50,2025-09-01 10:07:30,122.3,44.51
51,2025-09-01 10:07:35,122.21,45.44
52,2025-09-01 10:07:40,117.73,44.14
53,2025-09-01 10:07:45,118.76,44.4
54,2025-09-01 10:07:50,120.71,45.94
55,2025-09-01 10:07:55,123.09,48.4
56,2025-09-01 10:08:00,120.85,51.94
57,2025-09-01 10:08:05,122.91,54.54
58,2025-09-01 10:08:10,126.6,58.78
59,2025-09-01 10:08:15,125.27,59.04
60,2025-09-01 10:08:20,126.81,55.79
61,2025-09-01 10:08:25,125.35,50.38
62,2025-09-01 10:08:30,125.85,44.23
63,2025-09-01 10:08:35,125.43,40.86
64,2025-09-01 10:08:40,128.38,40.45
65,2025-09-01 10:08:45,128.6,43.18
66,2025-09-01 10:08:50,129.07,44.44
67,2025-09-01 10:08:55,124.07,41.54
68,2025-09-01 10:09:00,121.25,38.77
69,2025-09-01 10:09:05,118.36,37.18
70,2025-09-01 10:09:10,113.51,37.22
71,2025-09-01 10:09:15,111.16,38.75
72,2025-09-01 10:09:20,110.14,37.85
73,2025-09-01 10:09:25,104.39,52.81
74,2025-09-01 10:09:30,117.01,50.95
75,2025-09-01 10:09:35,130.23,52.91
76,2025-09-01 10:09:40,130.96,52.39
77,2025-09-01 10:09:45,127.18,47.87
78,2025-09-01 10:09:50,120.88,48.32
79,2025-09-01 10:09:55,120.85,47.95
80,2025-09-01 10:10:00,120.85,47.88
81,2025-09-01 10:10:05,116.65,46.89
82,2025-09-01 10:10:10,117.21,47.36
83,2025-09-01 10:10:15,121.6,46.11
84,2025-09-01 10:10:20,123.35,44.98
85,2025-09-01 10:10:25,126.89,47.21
86,2025-09-01 10:10:30,128.91,46.76
87,2025-09-01 10:10:35,124.5,45.11
88,2025-09-01 10:10:40,119.09,49.09
89,2025-09-01 10:10:45,117.56,47.83
90,2025-09-01 10:10:50,117.69,48.01
91,2025-09-01 10:10:55,118.9,49.83
92,2025-09-01 10:11:00,110.59,51.28
93,2025-09-01 10:11:05,111.3,53.53
94,2025-09-01 10:11:10,114.93,55.79
95,2025-09-01 10:11:15,117.52,54.19
96,2025-09-01 10:11:20,120.37,54.07
97,2025-09-01 10:11:25,123.23,54.59
98,2025-09-01 10:11:30,128.87,54.85
99,2025-09-01 10:11:35,132.65,55.3
100,2025-09-01 10:11:40,131.03,55.12
101,2025-09-01 10:11:45,129.35,55.82
102,2025-09-01 10:11:50,128.88,50.43
103,2025-09-01 10:11:55,125.63,45.81
104,2025-09-01 10:12:00,123.31,38.53
105,2025-09-01 10:12:05,121.21,40.47
106,2025-09-01 10:12:10,121.3,42.01
107,2025-09-01 10:12:15,128.41,45.48
108,2025-09-01 10:12:20,128.93,45.14
109,2025-09-01 10:12:25,130.75,42.62
110,2025-09-01 10:12:30,131.1,42.98
111,2025-09-01 10:12:35,130.26,41.74
112,2025-09-01 10:12:40,128.93,47.69
113,2025-09-01 10:12:45,124.53,50.35
114,2025-09-01 10:12:50,129.93,52.68
115,2025-09-01 10:12:55,129.61,56.86
116,2025-09-01 10:13:00,134.35,58.57
117,2025-09-01 10:13:05,134.08,59.05
118,2025-09-01 10:13:10,133.21,60.17
119,2025-09-01 10:13:15,128.9,59.26
120,2025-09-01 10:13:20,125.01,52.18
121,2025-09-01 10:13:25,122.54,50.93
122,2025-09-01 10:13:30,120.66,50.91
123,2025-09-01 10:13:35,118.11,49.75
124,2025-09-01 10:13:40,117.42,45.74
125,2025-09-01 10:13:45,111.8,43.88
126,2025-09-01 10:13:50,110.53,44.06
127,2025-09-01 10:13:55,111.11,38.57
128,2025-09-01 10:14:00,117.05,41.39
129,2025-09-01 10:14:05,116.53,47.39
130,2025-09-01 10:14:10,118.67,51.68
131,2025-09-01 10:14:15,110.65,51.5
132,2025-09-01 10:14:20,111.35,45.74
133,2025-09-01 10:14:25,114.71,42.58
134,2025-09-01 10:14:30,117.46,42.32
135,2025-09-01 10:14:35,121.31,42.9
136,2025-09-01 10:14:40,126.69,44.28
137,2025-09-01 10:14:45,128.41,42.59
138,2025-09-01 10:14:50,131.91,42.83
139,2025-09-01 10:14:55,127.75,44.98
140,2025-09-01 10:15:00,122.3,47.57
141,2025-09-01 10:15:05,121.41,45.08
142,2025-09-01 10:15:10,120.61,41.13
143,2025-09-01 10:15:15,119.68,39.43
144,2025-09-01 10:15:20,120.71,41.92
145,2025-09-01 10:15:25,122.81,44.87
146,2025-09-01 10:15:30,125.42,48.36
147,2025-09-01 10:15:35,125.13,48.63
148,2025-09-01 10:15:40,125.98,49.03
149,2025-09-01 10:15:45,125.81,48.23
150,2025-09-01 10:15:50,124.32,47.57
151,2025-09-01 10:15:55,124.72,48.84
152,2025-09-01 10:16:00,124.07,47.21
153,2025-09-01 10:16:05,118.33,46.3
154,2025-09-01 10:16:10,116.36,44.75
155,2025-09-01 10:16:15,119.64,42.21
156,2025-09-01 10:16:20,120.36,42.23
157,2025-09-01 10:16:25,129.98,38.38
158,2025-09-01 10:16:30,127.61,38.1
159,2025-09-01 10:16:35,120.45,37.72
160,2025-09-01 10:16:40,117.16,38.21
161,2025-09-01 10:16:45,122.08,39.08
162,2025-09-01 10:16:50,125.27,41.71
163,2025-09-01 10:16:55,123.94,45.6
164,2025-09-01 10:17:00,113.36,47.8
165,2025-09-01 10:17:05,107.11,50.85
166,2025-09-01 10:17:10,110.69,49.68
167,2025-09-01 10:17:15,116.22,47.91
168,2025-09-01 10:17:20,116.99,47.8
169,2025-09-01 10:17:25,126.03,48.07
170,2025-09-01 10:17:30,123.59,47.18
171,2025-09-01 10:17:35,125.2,48.43
172,2025-09-01 10:17:40,119.45,53.94
173,2025-09-01 10:17:45,121.34,48.82
174,2025-09-01 10:17:50,122.73,45.99
175,2025-09-01 10:17:55,120.37,47.0
176,2025-09-01 10:18:00,110.28,47.35
177,2025-09-01 10:18:05,94.48,41.26
178,2025-09-01 10:18:10,95.11,38.98
179,2025-09-01 10:18:15,96.65,38.76
180,2025-09-01 10:18:20,100.87,43.76
181,2025-09-01 10:18:25,108.64,44.03
182,2025-09-01 10:18:30,114.15,47.63
183,2025-09-01 10:18:35,120.24,50.23
184,2025-09-01 10:18:40,121.4,48.78
185,2025-09-01 10:18:45,123.51,47.93
186,2025-09-01 10:18:50,122.93,46.1
187,2025-09-01 10:18:55,115.55,47.21
188,2025-09-01 10:19:00,109.47,48.05
189,2025-09-01 10:19:05,104.49,47.68
190,2025-09-01 10:19:10,105.5,45.45
191,2025-09-01 10:19:15,112.33,42.74
192,2025-09-01 10:19:20,120.08,41.02
193,2025-09-01 10:19:25,127.11,39.43
194,2025-09-01 10:19:30,123.95,41.75
195,2025-09-01 10:19:35,117.7,43.98
196,2025-09-01 10:19:40,119.63,44.78
197,2025-09-01 10:19:45,124.14,44.88
198,2025-09-01 10:19:50,125.04,44.73
199,2025-09-01 10:19:55,119.63,42.7
200,2025-09-01 10:20:00,113.55,44.01
201,2025-09-01 10:20:05,111.69,46.05
202,2025-09-01 10:20:10,113.65,47.06
203,2025-09-01 10:20:15,114.38,48.74
204,2025-09-01 10:20:20,115.25,48.6
205,2025-09-01 10:20:25,113.79,48.94
206,2025-09-01 10:20:30,110.95,50.42
207,2025-09-01 10:20:35,113.2,49.39
208,2025-09-01 10:20:40,114.71,50.26
209,2025-09-01 10:20:45,121.23,50.71
210,2025-09-01 10:20:50,121.03,47.92
211,2025-09-01 10:20:55,118.79,47.52
212,2025-09-01 10:21:00,117.49,45.48
213,2025-09-01 10:21:05,118.77,43.81
214,2025-09-01 10:21:10,118.28,43.53
215,2025-09-01 10:21:15,114.16,47.07
216,2025-09-01 10:21:20,111.96,46.41
217,2025-09-01 10:21:25,111.9,47.39
218,2025-09-01 10:21:30,119.58,50.01
219,2025-09-01 10:21:35,127.86,47.93
220,2025-09-01 10:21:40,126.93,50.6
221,2025-09-01 10:21:45,119.38,53.2
222,2025-09-01 10:21:50,113.55,54.0
223,2025-09-01 10:21:55,116.85,55.92
224,2025-09-01 10:22:00,120.08,55.37
225,2025-09-01 10:22:05,118.7,55.52
226,2025-09-01 10:22:10,116.11,55.3
227,2025-09-01 10:22:15,117.19,54.81
228,2025-09-01 10:22:20,115.8,52.98
229,2025-09-01 10:22:25,111.96,52.04
230,2025-09-01 10:22:30,109.21,52.96
231,2025-09-01 10:22:35,108.8,49.05
232,2025-09-01 10:22:40,113.11,51.24
233,2025-09-01 10:22:45,118.74,53.56
234,2025-09-01 10:22:50,126.39,50.5
235,2025-09-01 10:22:55,133.57,51.56
236,2025-09-01 10:23:00,135.63,51.37
237,2025-09-01 10:23:05,127.68,47.49
238,2025-09-01 10:23:10,124.18,43.63
239,2025-09-01 10:23:15,125.37,42.11
240,2025-09-01 10:23:20,123.7,43.54
241,2025-09-01 10:23:25,125.98,43.32
242,2025-09-01 10:23:30,129.66,42.57
243,2025-09-01 10:23:35,129.61,42.73
244,2025-09-01 10:23:40,127.56,41.19
245,2025-09-01 10:23:45,129.27,40.86
246,2025-09-01 10:23:50,127.0,42.83
247,2025-09-01 10:23:55,131.12,43.83
248,2025-09-01 10:24:00,132.91,44.65
249,2025-09-01 10:24:05,131.76,45.37
250,2025-09-01 10:24:10,131.35,46.04
251,2025-09-01 10:24:15,128.62,46.23
252,2025-09-01 10:24:20,125.52,45.38
253,2025-09-01 10:24:25,123.94,44.28
254,2025-09-01 10:24:30,119.66,43.02
255,2025-09-01 10:24:35,104.02,44.0
256,2025-09-01 10:24:40,102.22,41.56
257,2025-09-01 10:24:45,105.49,43.96
258,2025-09-01 10:24:50,110.63,45.65
259,2025-09-01 10:24:55,119.81,45.89
260,2025-09-01 10:25:00,126.16,44.53
261,2025-09-01 10:25:05,131.37,41.46
262,2025-09-01 10:25:10,137.33,41.7
263,2025-09-01 10:25:15,131.56,43.13
264,2025-09-01 10:25:20,129.61,47.85
265,2025-09-01 10:25:25,118.52,48.13
266,2025-09-01 10:25:30,120.75,47.56
267,2025-09-01 10:25:35,121.48,45.26
268,2025-09-01 10:25:40,121.43,42.66
269,2025-09-01 10:25:45,123.44,38.28
270,2025-09-01 10:25:50,122.25,36.15
271,2025-09-01 10:25:55,115.59,37.85
272,2025-09-01 10:26:00,118.22,37.8
273,2025-09-01 10:26:05,123.23,36.61
274,2025-09-01 10:26:10,127.77,40.19
275,2025-09-01 10:26:15,129.83,42.45
276,2025-09-01 10:26:20,124.63,42.45
277,2025-09-01 10:26:25,121.38,43.03
278,2025-09-01 10:26:30,116.38,44.99
279,2025-09-01 10:26:35,115.69,45.21
280,2025-09-01 10:26:40,118.8,44.89
281,2025-09-01 10:26:45,119.32,45.51
282,2025-09-01 10:26:50,121.35,46.04
283,2025-09-01 10:26:55,120.3,46.62
284,2025-09-01 10:27:00,121.26,47.51
285,2025-09-01 10:27:05,121.12,49.15
286,2025-09-01 10:27:10,120.69,50.02
287,2025-09-01 10:27:15,121.83,50.95
288,2025-09-01 10:27:20,125.53,51.67
289,2025-09-01 10:27:25,132.4,48.82
290,2025-09-01 10:27:30,126.43,44.82
291,2025-09-01 10:27:35,124.66,44.07
292,2025-09-01 10:27:40,126.02,41.68
293,2025-09-01 10:27:45,126.25,38.46
294,2025-09-01 10:27:50,128.37,35.92
295,2025-09-01 10:27:55,131.85,37.68
296,2025-09-01 10:28:00,124.71,41.4
297,2025-09-01 10:28:05,124.86,43.4
298,2025-09-01 10:28:10,126.09,42.77
299,2025-09-01 10:28:15,128.6,45.56
300,2025-09-01 10:28:20,126.98,45.48
301,2025-09-01 10:28:25,130.8,42.49
302,2025-09-01 10:28:30,133.18,40.81
303,2025-09-01 10:28:35,132.23,39.11
304,2025-09-01 10:28:40,134.78,39.92
305,2025-09-01 10:28:45,129.46,45.96
306,2025-09-01 10:28:50,121.91,48.97
307,2025-09-01 10:28:55,118.45,49.05
308,2025-09-01 10:29:00,119.28,49.06
309,2025-09-01 10:29:05,116.61,49.82
310,2025-09-01 10:29:10,117.3,48.15
311,2025-09-01 10:29:15,122.15,45.48
312,2025-09-01 10:29:20,119.98,39.57
313,2025-09-01 10:29:25,126.32,41.98
314,2025-09-01 10:29:30,129.76,43.51
315,2025-09-01 10:29:35,129.01,44.5
316,2025-09-01 10:29:40,121.73,50.41
317,2025-09-01 10:29:45,118.51,48.0
318,2025-09-01 10:29:50,113.75,50.46
319,2025-09-01 10:29:55,112.37,50.85
320,2025-09-01 10:30:00,117.4,48.98
321,2025-09-01 10:30:05,121.5,48.23
322,2025-09-01 10:30:10,124.01,45.34
323,2025-09-01 10:30:15,125.25,43.18
324,2025-09-01 10:30:20,125.34,43.47
325,2025-09-01 10:30:25,123.37,44.09
326,2025-09-01 10:30:30,118.14,45.84
327,2025-09-01 10:30:35,114.56,45.82
