,time_sec,azimuth,elevation
0,2025-09-01 13:17:09,358.97,44.8
1,2025-09-01 13:17:14,358.35,45.28
2,2025-09-01 13:17:19,356.56,46.25
3,2025-09-01 13:17:24,356.4,45.11
4,2025-09-01 13:17:29,357.58,43.64
5,2025-09-01 13:17:34,1.86,45.68
6,2025-09-01 13:17:39,8.28,46.29
7,2025-09-01 13:17:44,7.21,46.66
8,2025-09-01 13:17:49,3.25,44.57
9,2025-09-01 13:17:54,359.35,42.65
10,2025-09-01 13:17:59,359.52,41.97
11,2025-09-01 13:18:04,359.81,43.7
12,2025-09-01 13:18:09,352.8,42.82
13,2025-09-01 13:18:14,348.69,44.82
14,2025-09-01 13:18:19,344.37,45.24
15,2025-09-01 13:18:24,341.72,44.92
16,2025-09-01 13:18:29,343.23,44.27
17,2025-09-01 13:18:34,349.94,44.39
18,2025-09-01 13:18:39,350.84,43.26
19,2025-09-01 13:18:44,0.11,40.94
20,2025-09-01 13:18:49,5.23,41.6
21,2025-09-01 13:18:54,1.0,42.28
22,2025-09-01 13:18:59,5.9,44.73
23,2025-09-01 13:19:04,6.13,47.11
24,2025-09-01 13:19:09,358.02,45.03
25,2025-09-01 13:19:14,1.04,44.88
26,2025-09-01 13:19:19,354.77,46.03
27,2025-09-01 13:19:24,354.87,46.21
28,2025-09-01 13:19:29,357.63,49.1
29,2025-09-01 13:19:34,0.66,46.85
30,2025-09-01 13:19:39,4.53,50.52
31,2025-09-01 13:19:44,5.01,49.91
32,2025-09-01 13:19:49,6.23,48.23
33,2025-09-01 13:19:54,6.04,46.5
34,2025-09-01 13:19:59,7.03,45.91
35,2025-09-01 13:20:04,7.48,47.08
36,2025-09-01 13:20:09,3.89,47.88
37,2025-09-01 13:20:14,0.82,47.8
38,2025-09-01 13:20:19,0.07,44.5
39,2025-09-01 13:20:24,0.4,43.29
40,2025-09-01 13:20:29,352.52,47.29
41,2025-09-01 13:20:34,350.9,47.63
42,2025-09-01 13:20:39,353.14,48.74
43,2025-09-01 13:20:44,350.91,47.21
44,2025-09-01 13:20:49,347.21,45.78
45,2025-09-01 13:20:54,353.12,46.8
46,2025-09-01 13:20:59,357.12,45.15
47,2025-09-01 13:21:04,7.44,44.64
48,2025-09-01 13:21:09,12.78,50.2
49,2025-09-01 13:21:14,10.07,50.69
50,2025-09-01 13:21:19,11.4,49.65
51,2025-09-01 13:21:24,15.62,50.65
52,2025-09-01 13:21:29,16.98,51.73
53,2025-09-01 13:21:34,15.36,52.31
54,2025-09-01 13:21:39,11.48,54.34
55,2025-09-01 13:21:44,9.39,54.91
