Unnamed: 0,time_sec,azimuth,elevation,realaz
0,2025-09-01 10:03:20,114.08,46.5,343.12
1,2025-09-01 10:03:25,113.16,45.43,342.2
2,2025-09-01 10:03:30,110.26,43.92,339.3
3,2025-09-01 10:03:35,111.65,41.71,340.69
4,2025-09-01 10:03:40,107.7,44.41,336.74
5,2025-09-01 10:03:45,104.73,42.94,333.77
6,2025-09-01 10:03:50,101.24,42.8,330.28
7,2025-09-01 10:03:55,106.06,42.91,335.1
8,2025-09-01 10:04:00,105.74,44.57,334.78
9,2025-09-01 10:04:05,105.01,44.89,334.05
10,2025-09-01 10:04:10,110.28,45.92,339.32
11,2025-09-01 10:04:15,113.1,43.15,342.14
12,2025-09-01 10:04:20,109.74,45.63,338.78
13,2025-09-01 10:04:25,106.83,44.18,335.87
14,2025-09-01 10:04:30,110.13,42.97,339.17
15,2025-09-01 10:04:35,112.8,40.6,341.84
16,2025-09-01 10:04:40,119.56,39.71,348.6
17,2025-09-01 10:04:45,118.52,41.63,347.56
18,2025-09-01 10:04:50,119.19,45.37,348.23
19,2025-09-01 10:04:55,112.95,46.76,341.99
20,2025-09-01 10:05:00,110.91,46.42,339.95
21,2025-09-01 10:05:05,109.48,48.94,338.52
22,2025-09-01 10:05:10,110.89,50.5,339.93
23,2025-09-01 10:05:15,98.4,50.95,327.44
24,2025-09-01 10:05:20,96.89,47.03,325.93
25,2025-09-01 10:05:25,102.53,47.23,331.57
26,2025-09-01 10:05:30,106.24,44.99,335.28
27,2025-09-01 10:05:35,104.26,47.63,333.3
28,2025-09-01 10:05:40,96.23,46.58,325.27
29,2025-09-01 10:05:45,97.61,47.78,326.65
30,2025-09-01 10:05:50,92.27,49.25,321.31
31,2025-09-01 10:05:55,96.32,49.36,325.36
32,2025-09-01 10:06:00,100.57,51.07,329.61
33,2025-09-01 10:06:05,108.62,49.1,337.66
34,2025-09-01 10:06:10,113.9,47.67,342.94
35,2025-09-01 10:06:15,112.1,41.84,341.14
