,time_sec,azimuth,elevation
0,2025-09-01 13:17:08,101.19,46.14
1,2025-09-01 13:17:13,102.02,46.48
2,2025-09-01 13:17:18,99.12,47.57
3,2025-09-01 13:17:23,97.97,47.25
4,2025-09-01 13:17:28,99.29,44.69
5,2025-09-01 13:17:33,100.77,47.26
6,2025-09-01 13:17:38,110.25,46.96
7,2025-09-01 13:17:43,110.24,48.09
8,2025-09-01 13:17:48,104.93,46.26
9,2025-09-01 13:17:53,104.09,43.79
10,2025-09-01 13:17:58,100.51,42.88
11,2025-09-01 13:18:03,102.08,44.89
12,2025-09-01 13:18:08,95.78,44.2
13,2025-09-01 13:18:13,90.98,45.38
14,2025-09-01 13:18:18,86.29,46.56
15,2025-09-01 13:18:23,83.3,46.27
16,2025-09-01 13:18:28,84.71,45.93
17,2025-09-01 13:18:33,91.76,45.71
18,2025-09-01 13:18:38,91.07,44.33
19,2025-09-01 13:18:43,98.2,45.02
20,2025-09-01 13:18:48,105.93,42.2
21,2025-09-01 13:18:53,103.17,43.75
22,2025-09-01 13:18:58,107.07,45.28
23,2025-09-01 13:19:03,109.27,47.95
24,2025-09-01 13:19:08,102.28,45.39
25,2025-09-01 13:19:13,102.62,46.22
26,2025-09-01 13:19:18,97.5,47.16
27,2025-09-01 13:19:23,99.43,48.06
28,2025-09-01 13:19:28,99.18,49.47
29,2025-09-01 13:19:33,102.91,48.02
30,2025-09-01 13:19:38,104.22,50.84
31,2025-09-01 13:19:43,106.8,51.89
32,2025-09-01 13:19:48,108.4,50.13
33,2025-09-01 13:19:53,108.24,47.81
34,2025-09-01 13:19:58,109.35,46.83
35,2025-09-01 13:20:03,110.2,47.9
36,2025-09-01 13:20:08,106.33,49.23
37,2025-09-01 13:20:13,103.05,49.41
38,2025-09-01 13:20:18,102.1,45.98
39,2025-09-01 13:20:23,103.13,43.98
40,2025-09-01 13:20:28,97.14,48.84
41,2025-09-01 13:20:33,92.24,49.13
42,2025-09-01 13:20:38,94.66,50.3
43,2025-09-01 13:20:43,92.37,48.7
44,2025-09-01 13:20:48,89.11,47.11
45,2025-09-01 13:20:53,93.57,48.59
46,2025-09-01 13:20:58,98.33,46.64
47,2025-09-01 13:21:03,106.81,45.66
48,2025-09-01 13:21:08,113.98,49.95
49,2025-09-01 13:21:13,112.27,51.96
50,2025-09-01 13:21:18,113.29,50.59
51,2025-09-01 13:21:23,115.19,51.72
52,2025-09-01 13:21:28,121.21,53.14
53,2025-09-01 13:21:33,118.49,53.12
54,2025-09-01 13:21:38,114.43,55.41
55,2025-09-01 13:21:43,112.25,55.98
56,2025-09-01 13:21:48,108.78,55.31
57,2025-09-01 13:21:53,110.17,55.46
58,2025-09-01 13:21:58,110.88,53.86
59,2025-09-01 13:22:03,110.29,48.15
60,2025-09-01 13:22:08,111.61,46.34
61,2025-09-01 13:22:13,112.58,45.84
62,2025-09-01 13:22:18,109.3,46.16
63,2025-09-01 13:22:23,105.84,44.15
64,2025-09-01 13:22:28,99.78,41.84
65,2025-09-01 13:22:33,98.84,45.21
66,2025-09-01 13:22:38,99.25,51.34
67,2025-09-01 13:22:43,97.12,56.33
68,2025-09-01 13:22:48,100.18,45.79
69,2025-09-01 13:22:53,99.51,45.2
70,2025-09-01 13:22:58,98.65,43.37
71,2025-09-01 13:23:03,96.95,42.3
72,2025-09-01 13:23:08,99.9,42.76
73,2025-09-01 13:23:13,105.9,45.22
74,2025-09-01 13:23:18,109.73,44.31
75,2025-09-01 13:23:23,106.9,45.62
76,2025-09-01 13:23:28,102.69,49.34
77,2025-09-01 13:23:33,102.7,47.1
78,2025-09-01 13:23:38,103.54,48.03
79,2025-09-01 13:23:43,104.34,47.54
80,2025-09-01 13:23:48,105.31,52.47
81,2025-09-01 13:23:53,111.03,48.71
82,2025-09-01 13:23:58,107.8,44.99
83,2025-09-01 13:24:03,109.77,46.14
84,2025-09-01 13:24:08,113.61,48.63
85,2025-09-01 13:24:13,110.18,48.72
86,2025-09-01 13:24:18,108.85,52.31
87,2025-09-01 13:24:23,108.59,51.32
88,2025-09-01 13:24:28,101.66,50.4
89,2025-09-01 13:24:33,105.77,50.21
90,2025-09-01 13:24:38,102.76,50.49
91,2025-09-01 13:24:43,102.16,48.01
92,2025-09-01 13:24:48,98.05,48.23
93,2025-09-01 13:24:53,95.76,44.64
94,2025-09-01 13:24:58,96.99,44.19
95,2025-09-01 13:25:03,99.63,41.38
96,2025-09-01 13:25:08,101.48,40.36
97,2025-09-01 13:25:13,102.02,40.3
98,2025-09-01 13:25:18,111.32,41.68
99,2025-09-01 13:25:23,111.67,40.2
100,2025-09-01 13:25:28,111.5,40.15
101,2025-09-01 13:25:33,109.48,40.01
102,2025-09-01 13:25:38,106.95,39.79
103,2025-09-01 13:25:43,106.71,42.53
104,2025-09-01 13:25:48,108.83,44.01
105,2025-09-01 13:25:53,105.22,45.27
106,2025-09-01 13:25:58,104.8,43.77
107,2025-09-01 13:26:03,104.94,43.19
108,2025-09-01 13:26:08,105.07,40.9
109,2025-09-01 13:26:13,106.23,42.24
110,2025-09-01 13:26:18,107.11,44.28
111,2025-09-01 13:26:23,108.82,43.64
112,2025-09-01 13:26:28,109.61,44.12
113,2025-09-01 13:26:33,108.25,44.12
114,2025-09-01 13:26:38,111.86,40.62
115,2025-09-01 13:26:43,110.21,41.47
116,2025-09-01 13:26:48,109.81,42.28
117,2025-09-01 13:26:53,113.31,43.49
118,2025-09-01 13:26:58,114.65,45.24
119,2025-09-01 13:27:03,111.75,47.36
120,2025-09-01 13:27:08,103.26,48.93
121,2025-09-01 13:27:13,103.4,47.89
122,2025-09-01 13:27:18,102.55,44.85
123,2025-09-01 13:27:23,99.93,40.91
124,2025-09-01 13:27:28,102.26,39.22
125,2025-09-01 13:27:33,105.91,43.28
126,2025-09-01 13:27:38,107.26,42.81
127,2025-09-01 13:27:43,108.98,38.18
128,2025-09-01 13:27:48,108.42,36.07
129,2025-09-01 13:27:53,108.6,38.79
130,2025-09-01 13:27:58,107.2,41.7
131,2025-09-01 13:28:03,104.28,45.22
132,2025-09-01 13:28:08,99.4,47.6
133,2025-09-01 13:28:13,91.56,47.48
134,2025-09-01 13:28:18,86.92,50.0
135,2025-09-01 13:28:23,94.12,49.22
136,2025-09-01 13:28:28,102.25,46.27
137,2025-09-01 13:28:33,108.2,44.13
138,2025-09-01 13:28:38,111.2,45.85
139,2025-09-01 13:28:43,110.2,48.95
140,2025-09-01 13:28:48,110.34,49.46
141,2025-09-01 13:28:53,106.31,47.5
142,2025-09-01 13:28:58,101.41,48.52
143,2025-09-01 13:29:03,104.1,45.55
144,2025-09-01 13:29:08,107.93,45.46
145,2025-09-01 13:29:13,108.24,44.45
146,2025-09-01 13:29:18,107.87,43.15
147,2025-09-01 13:29:23,108.67,44.29
148,2025-09-01 13:29:28,109.15,44.03
149,2025-09-01 13:29:33,108.24,44.73
150,2025-09-01 13:29:38,113.48,43.18
151,2025-09-01 13:29:43,121.63,45.49
152,2025-09-01 13:29:48,122.59,46.6
153,2025-09-01 13:29:53,119.77,42.51
154,2025-09-01 13:29:58,124.44,42.3
155,2025-09-01 13:30:03,122.45,42.65
156,2025-09-01 13:30:08,120.45,43.35
157,2025-09-01 13:30:13,118.54,42.76
158,2025-09-01 13:30:18,112.23,43.68
159,2025-09-01 13:30:23,106.51,44.99
160,2025-09-01 13:30:28,106.87,45.48
161,2025-09-01 13:30:33,101.2,46.06
162,2025-09-01 13:30:38,105.01,44.31
163,2025-09-01 13:30:43,106.19,44.54
164,2025-09-01 13:30:48,104.09,44.64
165,2025-09-01 13:30:53,107.98,44.46
166,2025-09-01 13:30:58,108.49,43.28
167,2025-09-01 13:31:03,106.93,42.52
168,2025-09-01 13:31:08,105.49,43.24
169,2025-09-01 13:31:13,110.25,45.51
170,2025-09-01 13:31:18,112.28,45.91
171,2025-09-01 13:31:23,111.81,46.06
172,2025-09-01 13:31:28,108.21,45.74
173,2025-09-01 13:31:33,108.52,46.88
174,2025-09-01 13:31:38,113.45,39.78
175,2025-09-01 13:31:43,112.36,40.58
176,2025-09-01 13:31:48,108.16,45.8
177,2025-09-01 13:31:53,107.54,45.89
178,2025-09-01 13:31:58,115.04,47.7
179,2025-09-01 13:32:03,113.13,46.76
180,2025-09-01 13:32:08,112.45,46.96
181,2025-09-01 13:32:13,115.68,45.38
182,2025-09-01 13:32:18,114.74,41.93
183,2025-09-01 13:32:23,117.97,39.88
184,2025-09-01 13:32:28,117.93,43.2
185,2025-09-01 13:32:33,114.5,43.94
186,2025-09-01 13:32:38,111.86,46.22
187,2025-09-01 13:32:43,111.92,49.16
188,2025-09-01 13:32:48,120.6,53.65
189,2025-09-01 13:32:53,116.81,58.0
190,2025-09-01 13:32:58,109.75,55.91
191,2025-09-01 13:33:03,118.95,54.84
192,2025-09-01 13:33:08,114.9,53.9
193,2025-09-01 13:33:13,118.81,56.47
194,2025-09-01 13:33:18,116.79,55.83
195,2025-09-01 13:33:23,108.23,53.8
196,2025-09-01 13:33:28,105.27,52.65
197,2025-09-01 13:33:33,98.01,52.6
198,2025-09-01 13:33:38,98.72,51.83
199,2025-09-01 13:33:43,100.9,52.46
200,2025-09-01 13:33:48,109.49,49.31
201,2025-09-01 13:33:53,111.96,46.34
202,2025-09-01 13:33:58,114.06,43.72
203,2025-09-01 13:34:03,119.53,42.37
204,2025-09-01 13:34:08,122.55,42.09
205,2025-09-01 13:34:13,123.2,40.05
206,2025-09-01 13:34:18,121.72,38.16
207,2025-09-01 13:34:23,119.83,36.8
208,2025-09-01 13:34:28,112.87,43.24
209,2025-09-01 13:34:33,114.89,42.58
210,2025-09-01 13:34:38,115.19,44.53
211,2025-09-01 13:34:43,116.56,44.84
212,2025-09-01 13:34:48,114.73,49.84
213,2025-09-01 13:34:53,115.35,50.08
214,2025-09-01 13:34:58,120.58,46.68
215,2025-09-01 13:35:03,123.74,49.66
216,2025-09-01 13:35:08,112.86,52.86
217,2025-09-01 13:35:13,107.35,56.87
218,2025-09-01 13:35:18,105.47,54.38
219,2025-09-01 13:35:23,108.47,45.7
220,2025-09-01 13:35:28,110.11,44.75
221,2025-09-01 13:35:33,108.97,44.04
222,2025-09-01 13:35:38,108.13,44.6
223,2025-09-01 13:35:43,105.02,44.07
224,2025-09-01 13:35:48,107.64,42.93
225,2025-09-01 13:35:53,105.44,48.17
226,2025-09-01 13:35:58,111.01,52.31
227,2025-09-01 13:36:03,113.42,54.48
228,2025-09-01 13:36:08,118.14,52.86
229,2025-09-01 13:36:13,114.26,50.61
230,2025-09-01 13:36:18,109.85,48.98
