time,"coordinates [x,y]",elevation,azimuth
20250903_094910,"[781, 1504]",41,252
20250903_094920,"[824, 1527]",40,257
20250903_094930,"[870, 1517]",42,261
20250903_094940,"[861, 1464]",47,259
20250903_094950,"[835, 1416]",50,255
20250903_095000,"[892, 1423]",50,262
20250903_095010,"[940, 1411]",52,267
20250903_095020,"[890, 1397]",53,261
20250903_095030,"[861, 1402]",52,257
20250903_095040,"[864, 1456]",47,259
20250903_095050,"[603, 484]",39,127
20250903_095100,"[915, 1484]",45,265
20250903_095110,"[862, 1498]",44,260
20250903_095120,"[846, 1463]",46,257
20250903_095130,"[809, 1463]",46,253
20250903_095140,"[826, 1463]",46,255
20250903_095150,"[829, 1508]",42,257
20250903_095200,"[836, 1459]",46,256
20250903_095210,"[793, 1490]",43,253
20250903_095220,"[818, 1512]",42,256
20250903_095230,"[896, 1503]",44,263
20250903_095240,"[861, 1496]",44,260
20250903_095250,"[879, 1451]",48,261
20250903_095300,"[904, 1453]",48,264
20250903_095310,"[893, 1520]",42,263
20250903_095320,"[883, 1537]",41,262
20250903_095330,"[882, 1535]",41,262
20250903_095340,"[916, 1475]",46,265
20250903_095350,"[853, 1435]",49,257
20250903_095400,"[821, 1451]",47,254
20250903_095410,"[843, 1477]",45,257
20250903_095420,"[915, 1445]",49,265
20250903_095430,"[850, 1428]",49,257
20250903_095440,"[846, 1466]",46,257
20250903_095450,"[840, 1500]",43,257
20250903_095500,"[893, 1511]",43,263
20250903_095510,"[873, 1503]",43,261
20250903_095520,"[839, 1513]",42,258
20250903_095530,"[833, 1471]",45,256
20250903_095540,"[797, 1455]",46,252
20250903_095550,"[864, 1434]",49,259
20250903_095600,"[800, 1430]",48,251
20250903_095610,"[850, 1447]",48,257
20250903_095620,"[903, 1444]",49,263
20250903_095630,"[894, 1490]",45,263
20250903_095640,"[874, 1489]",45,261
20250903_095650,"[823, 1448]",47,254
20250903_095700,"[810, 1431]",48,252
20250903_095710,"[896, 1404]",52,262
20250903_095720,"[922, 1401]",53,265
20250903_095730,"[895, 1425]",50,262
20250903_095740,"[904, 1500]",44,264
20250903_095750,"[904, 1477]",46,264
20250903_095800,"[839, 1397]",52,255
20250903_095810,"[818, 1382]",52,251
20250903_095820,"[883, 1439]",49,261
20250903_095830,"[893, 1436]",49,262
20250903_095840,"[878, 1432]",50,260
20250903_095850,"[899, 1457]",48,263
20250903_095900,"[889, 1498]",44,262
20250903_095910,"[800, 1455]",46,252
20250903_095920,"[850, 1440]",48,257
20250903_095930,"[892, 1468]",47,262
20250903_095940,"[921, 1429]",50,265
20250903_095950,"[949, 1381]",55,268
20250903_100000,"[912, 1362]",56,263
20250903_100010,"[904, 1388]",54,263
20250903_100020,"[866, 1383]",53,257
20250903_100030,"[931, 1417]",51,266
20250903_100040,"[902, 1442]",49,263
20250903_100050,"[852, 1413]",51,257
20250903_100100,"[831, 1452]",47,255
20250903_100110,"[828, 1483]",44,256
20250903_100120,"[782, 1439]",47,250
20250903_100130,"[739, 1412]",47,244
20250903_100140,"[784, 1446]",46,250
20250903_100150,"[807, 1404]",50,251
20250903_100200,"[797, 1379]",52,249
20250903_100210,"[851, 1422]",50,257
20250903_100220,"[808, 1438]",48,252
20250903_100230,"[826, 1474]",45,255
20250903_100240,"[783, 1453]",46,250
20250903_100250,"[787, 1484]",43,252
20250903_100300,"[880, 1511]",43,262
20250903_100310,"[818, 1485]",44,255
20250903_100320,"[786, 1467]",45,251
20250903_100330,"[800, 1443]",47,252
20250903_100340,"[804, 1479]",44,253
20250903_100350,"[808, 1509]",42,255
20250903_100400,"[840, 1519]",41,258
20250903_100410,"[835, 1466]",46,256
20250903_100420,"[819, 1420]",49,253
20250903_100430,"[852, 1423]",50,257
20250903_100440,"[820, 1419]",49,253
20250903_100450,"[773, 1441]",46,249
20250903_100500,"[796, 1467]",45,252
20250903_100510,"[816, 1437]",48,253
20250903_100520,"[814, 1372]",53,250
20250903_100530,"[835, 1376]",53,253
20250903_100540,"[839, 1394]",52,254
20250903_100550,"[843, 1388]",53,255
20250903_100600,"[804, 1417]",49,251
20250903_100610,"[810, 1460]",46,253
20250903_100620,"[856, 1432]",49,258
20250903_100630,"[808, 1435]",48,252
20250903_100640,"[795, 1351]",54,247
20250903_100650,"[807, 1369]",53,249
20250903_100700,"[842, 1400]",52,255
20250903_100710,"[815, 1448]",47,253
20250903_100720,"[802, 1458]",46,252
20250903_100730,"[714, 1407]",47,241
20250903_100740,"[763, 1444]",46,248
20250903_100750,"[748, 1405]",48,245
20250903_100800,"[850, 1377]",54,255
20250903_100810,"[816, 1323]",57,248
20250903_100820,"[777, 1375]",52,246
20250903_100830,"[817, 1391]",52,252
20250903_100840,"[764, 1394]",50,246
20250903_100850,"[779, 1396]",50,247
20250903_100900,"[801, 1439]",47,252
20250903_100910,"[816, 1445]",47,253
20250903_100920,"[794, 1464]",45,252
20250903_100930,"[850, 1484]",45,258
20250903_100940,"[868, 1497]",44,260
20250903_100950,"[820, 1492]",43,255
20250903_101000,"[755, 1438]",46,247
20250903_101010,"[727, 1420]",46,243
