time,"coordinates [x,y]",x,y,x_deviation,y_deviation,valid
20250903_134320,"[821, 1393]",821,1393,69.97113402061859,386.50721649484535,False
20250903_134330,"[881, 1371]",881,1371,129.9711340206186,364.50721649484535,False
20250903_134340,"[862, 1374]",862,1374,110.97113402061859,367.50721649484535,False
20250903_134350,"[842, 1330]",842,1330,90.97113402061859,323.50721649484535,False
20250903_134400,"[858, 1336]",858,1336,106.97113402061859,329.50721649484535,False
20250903_134410,"[949, 1327]",949,1327,197.9711340206186,320.50721649484535,False
20250903_134420,"[892, 1279]",892,1279,140.9711340206186,272.50721649484535,False
20250903_134430,"[903, 1318]",903,1318,151.9711340206186,311.50721649484535,False
20250903_134440,"[942, 1396]",942,1396,190.9711340206186,389.50721649484535,False
20250903_134450,"[1027, 626]",1027,626,275.9711340206186,-380.49278350515465,False
20250903_134500,"[1322, 519]",1322,519,570.9711340206186,-487.49278350515465,False
20250903_134510,"[757, 1478]",757,1478,5.971134020618592,471.50721649484535,False
20250903_134520,"[862, 1418]",862,1418,110.97113402061859,411.50721649484535,False
20250903_134530,"[937, 1365]",937,1365,185.9711340206186,358.50721649484535,False
20250903_134540,"[902, 1385]",902,1385,150.9711340206186,378.50721649484535,False
20250903_134550,"[891, 1375]",891,1375,139.9711340206186,368.50721649484535,False
20250903_134600,"[874, 1333]",874,1333,122.97113402061859,326.50721649484535,False
20250903_134610,"[889, 1319]",889,1319,137.9711340206186,312.50721649484535,False
20250903_134620,"[889, 1351]",889,1351,137.9711340206186,344.50721649484535,False
20250903_134630,"[890, 1332]",890,1332,138.9711340206186,325.50721649484535,False
20250903_134640,"[960, 1351]",960,1351,208.9711340206186,344.50721649484535,False
20250903_134650,"[948, 1336]",948,1336,196.9711340206186,329.50721649484535,False
20250903_134700,"[973, 1266]",973,1266,221.9711340206186,259.50721649484535,False
20250903_134720,"[924, 1300]",924,1300,172.9711340206186,293.50721649484535,False
20250903_134730,"[922, 1316]",922,1316,170.9711340206186,309.50721649484535,False
20250903_134740,"[859, 1257]",859,1257,107.97113402061859,250.50721649484535,False
20250903_134750,"[888, 1271]",888,1271,136.9711340206186,264.50721649484535,False
20250903_134800,"[943, 1301]",943,1301,191.9711340206186,294.50721649484535,False
20250903_134810,"[951, 1348]",951,1348,199.9711340206186,341.50721649484535,False
20250903_134820,"[970, 1381]",970,1381,218.9711340206186,374.50721649484535,False
20250903_134830,"[985, 1374]",985,1374,233.9711340206186,367.50721649484535,False
20250903_134840,"[974, 1379]",974,1379,222.9711340206186,372.50721649484535,False
20250903_134850,"[983, 1366]",983,1366,231.9711340206186,359.50721649484535,False
20250903_134900,"[522, 639]",522,639,-229.0288659793814,-367.49278350515465,False
20250903_134910,"[582, 532]",582,532,-169.0288659793814,-474.49278350515465,False
20250903_134920,"[636, 538]",636,538,-115.02886597938141,-468.49278350515465,False
20250903_134930,"[626, 610]",626,610,-125.02886597938141,-396.49278350515465,False
20250903_134940,"[704, 568]",704,568,-47.02886597938141,-438.49278350515465,False
20250903_134950,"[487, 680]",487,680,-264.0288659793814,-326.49278350515465,False
20250903_135000,"[519, 746]",519,746,-232.0288659793814,-260.49278350515465,False
20250903_135010,"[1104, 495]",1104,495,352.9711340206186,-511.49278350515465,False
20250903_135020,"[535, 831]",535,831,-216.0288659793814,-175.49278350515465,False
20250903_135030,"[202, 920]",202,920,-549.0288659793814,-86.49278350515465,False
20250903_135040,"[555, 921]",555,921,-196.0288659793814,-85.49278350515465,False
20250903_135050,"[759, 741]",759,741,7.971134020618592,-265.49278350515465,False
20250903_135100,"[843, 1497]",843,1497,91.97113402061859,490.50721649484535,False
20250903_135110,"[842, 1515]",842,1515,90.97113402061859,508.50721649484535,False
20250903_135120,"[862, 1520]",862,1520,110.97113402061859,513.5072164948454,False
20250903_135130,"[874, 1008]",874,1008,122.97113402061859,1.507216494845352,False
20250903_135140,"[1092, 463]",1092,463,340.9711340206186,-543.4927835051546,False
20250903_135150,"[669, 614]",669,614,-82.02886597938141,-392.49278350515465,False
20250903_135200,"[1076, 1483]",1076,1483,324.9711340206186,476.50721649484535,False
20250903_135210,"[1160, 1436]",1160,1436,408.9711340206186,429.50721649484535,False
20250903_135220,"[695, 837]",695,837,-56.02886597938141,-169.49278350515465,False
20250903_135230,"[679, 784]",679,784,-72.02886597938141,-222.49278350515465,False
20250903_135240,"[708, 783]",708,783,-43.02886597938141,-223.49278350515465,False
20250903_135250,"[697, 908]",697,908,-54.02886597938141,-98.49278350515465,False
20250903_135300,"[807, 470]",807,470,55.97113402061859,-536.4927835051546,False
20250903_135310,"[835, 464]",835,464,83.97113402061859,-542.4927835051546,False
20250903_135320,"[846, 494]",846,494,94.97113402061859,-512.4927835051546,False
20250903_135330,"[720, 1457]",720,1457,-31.028865979381408,450.50721649484535,False
20250903_135340,"[842, 615]",842,615,90.97113402061859,-391.49278350515465,False
20250903_135350,"[765, 1499]",765,1499,13.971134020618592,492.50721649484535,False
20250903_135400,"[820, 445]",820,445,68.97113402061859,-561.4927835051546,False
20250903_135410,"[843, 469]",843,469,91.97113402061859,-537.4927835051546,False
20250903_135420,"[858, 394]",858,394,106.97113402061859,-612.4927835051546,False
20250903_135430,"[875, 423]",875,423,123.97113402061859,-583.4927835051546,False
20250903_135440,"[769, 1450]",769,1450,17.971134020618592,443.50721649484535,False
20250903_135450,"[800, 1456]",800,1456,48.97113402061859,449.50721649484535,False
20250903_135500,"[896, 510]",896,510,144.9711340206186,-496.49278350515465,False
20250903_135510,"[510, 408]",510,408,-241.0288659793814,-598.4927835051546,False
20250903_135520,"[945, 1388]",945,1388,193.9711340206186,381.50721649484535,False
20250903_135530,"[919, 1415]",919,1415,167.9711340206186,408.50721649484535,False
20250903_135540,"[905, 1445]",905,1445,153.9711340206186,438.50721649484535,False
20250903_135550,"[550, 554]",550,554,-201.0288659793814,-452.49278350515465,False
20250903_135600,"[530, 572]",530,572,-221.0288659793814,-434.49278350515465,False
20250903_135610,"[539, 605]",539,605,-212.0288659793814,-401.49278350515465,False
20250903_135620,"[543, 639]",543,639,-208.0288659793814,-367.49278350515465,False
20250903_135630,"[896, 655]",896,655,144.9711340206186,-351.49278350515465,False
