,time_sec,azimuth,elevation
0,2025-09-03 14:43:17,49.19,48.22
1,2025-09-03 14:43:22,49.85,50.16
2,2025-09-03 14:43:27,52.43,51.88
3,2025-09-03 14:43:32,57.83,52.26
4,2025-09-03 14:43:37,56.18,51.54
5,2025-09-03 14:43:42,52.19,51.73
6,2025-09-03 14:43:47,51.11,53.95
7,2025-09-03 14:43:52,47.86,54.8
8,2025-09-03 14:43:57,49.28,55.22
9,2025-09-03 14:44:02,52.79,53.68
10,2025-09-03 14:44:07,66.17,55.41
11,2025-09-03 14:44:12,61.61,57.5
12,2025-09-03 14:44:17,56.71,61.08
13,2025-09-03 14:44:22,56.2,60.68
14,2025-09-03 14:44:27,56.3,58.85
15,2025-09-03 14:44:32,60.72,55.27
16,2025-09-03 14:44:37,64.12,52.62
17,2025-09-03 14:44:42,64.35,49.85
18,2025-09-03 14:44:47,59.9,48.31
19,2025-09-03 14:44:52,59.92,45.79
20,2025-09-03 14:44:57,60.98,43.06
21,2025-09-03 14:45:02,54.26,42.28
22,2025-09-03 14:45:07,49.27,40.41
23,2025-09-03 14:45:12,43.94,41.46
24,2025-09-03 14:45:17,48.43,47.63
25,2025-09-03 14:45:22,56.56,49.11
26,2025-09-03 14:45:27,59.56,52.57
27,2025-09-03 14:45:32,62.3,53.2
28,2025-09-03 14:45:37,59.48,52.05
29,2025-09-03 14:45:42,58.67,52.58
30,2025-09-03 14:45:47,56.91,53.28
31,2025-09-03 14:45:52,57.35,51.32
32,2025-09-03 14:45:57,54.86,53.43
33,2025-09-03 14:46:02,53.26,55.65
34,2025-09-03 14:46:07,50.38,57.28
35,2025-09-03 14:46:12,56.5,56.02
36,2025-09-03 14:46:17,57.4,54.6
37,2025-09-03 14:46:22,57.05,53.82
38,2025-09-03 14:46:27,57.5,56.12
39,2025-09-03 14:46:32,58.48,55.26
40,2025-09-03 14:46:37,62.83,54.89
41,2025-09-03 14:46:42,67.45,54.79
42,2025-09-03 14:46:47,66.7,55.9
43,2025-09-03 14:46:52,65.43,56.57
44,2025-09-03 14:46:57,67.31,59.78
45,2025-09-03 14:47:02,71.88,62.25
46,2025-09-03 14:47:07,73.78,63.17
47,2025-09-03 14:47:12,67.11,63.55
48,2025-09-03 14:47:17,61.29,60.53
49,2025-09-03 14:47:22,60.03,58.16
50,2025-09-03 14:47:27,60.75,58.05
51,2025-09-03 14:47:32,58.65,57.09
52,2025-09-03 14:47:37,53.65,58.55
53,2025-09-03 14:47:42,48.25,61.33
54,2025-09-03 14:47:47,50.56,60.44
55,2025-09-03 14:47:52,56.95,60.55
56,2025-09-03 14:47:57,62.36,60.25
57,2025-09-03 14:48:02,65.01,58.71
58,2025-09-03 14:48:07,63.26,57.44
59,2025-09-03 14:48:12,67.23,53.35
60,2025-09-03 14:48:17,67.28,51.58
61,2025-09-03 14:48:22,68.04,51.64
62,2025-09-03 14:48:27,66.41,52.72
63,2025-09-03 14:48:32,70.48,53.37
64,2025-09-03 14:48:37,70.13,52.72
65,2025-09-03 14:48:42,67.31,52.09
66,2025-09-03 14:48:47,68.16,53.9
67,2025-09-03 14:48:52,59.89,53.51
68,2025-09-03 14:48:57,51.57,50.02
69,2025-09-03 14:49:02,50.01,50.34
70,2025-09-03 14:49:07,51.19,50.93
71,2025-09-03 14:49:12,55.06,53.16
72,2025-09-03 14:49:17,55.46,54.98
73,2025-09-03 14:49:22,61.09,53.15
