,time_sec,azimuth,elevation
0,2025-09-03 10:49:09,47.78,39.34
1,2025-09-03 10:49:14,51.61,39.64
2,2025-09-03 10:49:19,53.33,38.83
3,2025-09-03 10:49:24,53.2,38.67
4,2025-09-03 10:49:29,56.96,39.53
5,2025-09-03 10:49:34,59.46,42.48
6,2025-09-03 10:49:39,57.05,44.16
7,2025-09-03 10:49:44,53.01,46.4
8,2025-09-03 10:49:49,51.84,47.17
9,2025-09-03 10:49:54,55.31,49.68
10,2025-09-03 10:49:59,58.53,49.3
11,2025-09-03 10:50:04,59.71,48.77
12,2025-09-03 10:50:09,63.43,49.09
13,2025-09-03 10:50:14,59.31,50.15
14,2025-09-03 10:50:19,56.68,50.12
15,2025-09-03 10:50:24,55.39,50.43
16,2025-09-03 10:50:29,53.5,49.77
17,2025-09-03 10:50:34,55.55,46.26
18,2025-09-03 10:50:39,55.55,44.5
19,2025-09-03 10:50:44,59.41,46.3
20,2025-09-03 10:50:49,61.85,51.05
21,2025-09-03 10:50:54,61.88,49.35
22,2025-09-03 10:50:59,63.2,43.97
23,2025-09-03 10:51:04,61.71,41.88
24,2025-09-03 10:51:09,58.1,41.14
25,2025-09-03 10:51:14,54.65,43.22
26,2025-09-03 10:51:19,54.1,44.52
27,2025-09-03 10:51:24,51.3,43.43
28,2025-09-03 10:51:29,49.74,43.23
29,2025-09-03 10:51:34,50.12,43.13
30,2025-09-03 10:51:39,49.65,44.03
31,2025-09-03 10:51:44,54.62,40.96
32,2025-09-03 10:51:49,55.1,39.62
33,2025-09-03 10:51:54,54.13,41.33
34,2025-09-03 10:51:59,54.24,43.18
35,2025-09-03 10:52:04,52.82,44.15
36,2025-09-03 10:52:09,51.77,40.35
37,2025-09-03 10:52:14,49.65,39.63
38,2025-09-03 10:52:19,53.13,38.32
39,2025-09-03 10:52:24,55.51,40.83
40,2025-09-03 10:52:29,60.02,41.33
41,2025-09-03 10:52:34,60.69,40.75
42,2025-09-03 10:52:39,57.88,42.55
43,2025-09-03 10:52:44,56.98,41.43
44,2025-09-03 10:52:49,59.45,45.38
45,2025-09-03 10:52:54,57.54,47.51
46,2025-09-03 10:52:59,59.96,46.48
47,2025-09-03 10:53:04,61.04,42.9
48,2025-09-03 10:53:09,61.05,40.98
49,2025-09-03 10:53:14,59.18,39.12
50,2025-09-03 10:53:19,60.2,39.06
51,2025-09-03 10:53:24,57.49,37.94
52,2025-09-03 10:53:29,56.9,37.77
53,2025-09-03 10:53:34,60.7,41.67
54,2025-09-03 10:53:39,64.38,43.03
55,2025-09-03 10:53:44,60.44,44.15
56,2025-09-03 10:53:49,56.88,47.47
57,2025-09-03 10:53:54,53.05,45.19
58,2025-09-03 10:53:59,53.15,44.52
59,2025-09-03 10:54:04,50.07,43.54
60,2025-09-03 10:54:09,54.0,41.42
61,2025-09-03 10:54:14,56.51,43.93
62,2025-09-03 10:54:19,60.33,47.14
63,2025-09-03 10:54:24,58.2,45.69
64,2025-09-03 10:54:29,54.34,47.24
65,2025-09-03 10:54:34,52.74,45.84
66,2025-09-03 10:54:39,52.9,44.35
67,2025-09-03 10:54:44,54.54,42.07
68,2025-09-03 10:54:49,53.91,40.98
69,2025-09-03 10:54:54,53.37,40.38
70,2025-09-03 10:54:59,60.13,40.73
71,2025-09-03 10:55:04,61.45,40.01
72,2025-09-03 10:55:09,58.86,41.3
73,2025-09-03 10:55:14,56.56,39.65
74,2025-09-03 10:55:19,54.7,39.35
75,2025-09-03 10:55:24,51.72,42.63
76,2025-09-03 10:55:29,53.18,42.11
77,2025-09-03 10:55:34,52.21,44.25
78,2025-09-03 10:55:39,48.8,43.58
79,2025-09-03 10:55:44,51.81,43.45
80,2025-09-03 10:55:49,54.94,46.4
81,2025-09-03 10:55:54,54.1,47.48
82,2025-09-03 10:55:59,48.15,46.82
83,2025-09-03 10:56:04,50.17,46.23
84,2025-09-03 10:56:09,54.76,45.83
85,2025-09-03 10:56:14,55.65,46.45
86,2025-09-03 10:56:19,58.43,47.22
87,2025-09-03 10:56:24,60.52,45.29
88,2025-09-03 10:56:29,60.31,43.01
89,2025-09-03 10:56:34,60.63,41.52
90,2025-09-03 10:56:39,59.39,42.6
91,2025-09-03 10:56:44,55.2,42.09
