time,"coordinates [x,y]",elevation,azimuth
20160901_114000,"[255, 635]",73,155
20160901_114100,"[742, 556]",43,118
20160901_114200,"[510, 738]",47,154
20160901_114300,"[560, 617]",49,139
20160901_114400,"[680, 875]",27,163
20160901_114500,"[718, 997]",23,189
20160901_114600,"[501, 1247]",51,212
20160901_114700,"[576, 600]",49,137
20160901_114800,"[544, 610]",51,140
20160901_114900,"[476, 608]",56,144
20160901_115000,"[1101, 511]",44,73
20160901_115100,"[512, 747]",47,155
20160901_115200,"[604, 788]",37,154
20160901_115300,"[688, 1116]",29,210
20160901_115400,"[771, 980]",18,186
20160901_115500,"[871, 1320]",35,256
20160901_115600,"[1047, 1203]",24,290
20160901_115700,"[888, 1481]",49,262
20160901_115800,"[822, 1434]",46,254
20160901_115900,"[844, 1566]",58,259
20160901_120000,"[957, 1274]",29,269
20160901_120100,"[839, 1402]",43,255
20160901_120200,"[1082, 1431]",46,285
20160901_120300,"[1073, 1630]",64,280
20160901_120400,"[1042, 1494]",51,279
20160901_120500,"[679, 743]",33,142
20160901_120600,"[725, 831]",25,151
20160901_120700,"[1011, 1371]",39,277
20160901_120800,"[1069, 1605]",61,280
20160901_120900,"[958, 1417]",43,270
20160901_121000,"[1079, 1423]",45,284
20160901_121100,"[992, 1516]",52,273
20160901_121200,"[992, 1572]",57,273
20160901_121300,"[1177, 1313]",39,302
20160901_121400,"[1005, 1284]",31,278
20160901_121500,"[1113, 1458]",49,287
20160901_121600,"[1165, 1386]",44,296
20160901_121700,"[1104, 1533]",55,284
20160901_121800,"[1078, 1482]",50,283
20160901_121900,"[1016, 1299]",32,279
20160901_122000,"[1024, 1213]",24,284
20160901_122100,"[1103, 1468]",49,286
20160901_122200,"[1058, 1576]",58,279
20160901_122300,"[1027, 1550]",56,276
20160901_122400,"[1002, 1602]",60,274
20160901_122500,"[960, 1499]",51,270
20160901_122600,"[1054, 1585]",59,279
20160901_122700,"[971, 1229]",25,272
20160901_122800,"[900, 1438]",45,263
20160901_122900,"[802, 1582]",60,256
20160901_123000,"[799, 1504]",53,254
20160901_123100,"[1425, 1187]",49,334
20160901_123200,"[813, 802]",20,133
20160901_123300,"[608, 695]",41,143
20160901_123400,"[614, 730]",39,146
20160901_123500,"[607, 802]",36,156
20160901_123600,"[560, 919]",38,174
20160901_123700,"[255, 635]",73,155
20160901_123800,"[255, 635]",73,155
20160901_123900,"[255, 635]",73,155
