S 25/09/01 12:17:08
D    0 101.19  46.14
D    5 102.02  46.48
D   10  99.12  47.57
D   15  97.97  47.25
D   20  99.29  44.69
D   25 100.77  47.26
D   30 110.25  46.96
D   35 110.24  48.09
D   40 104.93  46.26
D   45 104.09  43.79
D   50 100.51  42.88
D   55 102.08  44.89
D   60  95.78  44.20
D   65  90.98  45.38
D   70  86.29  46.56
D   75  83.30  46.27
D   80  84.71  45.93
D   85  91.76  45.71
D   90  91.07  44.33
D   95  98.20  45.02
D  100 105.93  42.20
D  105 103.17  43.75
D  110 107.07  45.28
D  115 109.27  47.95
D  120 102.28  45.39
D  125 102.62  46.22
D  130  97.50  47.16
D  135  99.43  48.06
D  140  99.18  49.47
D  145 102.91  48.02
D  150 104.22  50.84
D  155 106.80  51.89
D  160 108.40  50.13
D  165 108.24  47.81
D  170 109.35  46.83
D  175 110.20  47.90
D  180 106.33  49.23
D  185 103.05  49.41
D  190 102.10  45.98
D  195 103.13  43.98
D  200  97.14  48.84
D  205  92.24  49.13
D  210  94.66  50.30
D  215  92.37  48.70
D  220  89.11  47.11
D  225  93.57  48.59
D  230  98.33  46.64
D  235 106.81  45.66
D  240 113.98  49.95
D  245 112.27  51.96
D  250 113.29  50.59
D  255 115.19  51.72
D  260 121.21  53.14
D  265 118.49  53.12
D  270 114.43  55.41
D  275 112.25  55.98
D  280 108.78  55.31
D  285 110.17  55.46
D  290 110.88  53.86
D  295 110.29  48.15
D  300 111.61  46.34
D  305 112.58  45.84
D  310 109.30  46.16
D  315 105.84  44.15
D  320  99.78  41.84
D  325  98.84  45.21
D  330  99.25  51.34
D  335  97.12  56.33
D  340 100.18  45.79
D  345  99.51  45.20
D  350  98.65  43.37
D  355  96.95  42.30
D  360  99.90  42.76
D  365 105.90  45.22
D  370 109.73  44.31
D  375 106.90  45.62
D  380 102.69  49.34
D  385 102.70  47.10
D  390 103.54  48.03
D  395 104.34  47.54
D  400 105.31  52.47
D  405 111.03  48.71
D  410 107.80  44.99
D  415 109.77  46.14
D  420 113.61  48.63
D  425 110.18  48.72
D  430 108.85  52.31
D  435 108.59  51.32
D  440 101.66  50.40
D  445 105.77  50.21
D  450 102.76  50.49
D  455 102.16  48.01
D  460  98.05  48.23
D  465  95.76  44.64
D  470  96.99  44.19
D  475  99.63  41.38
D  480 101.48  40.36
D  485 102.02  40.30
D  490 111.32  41.68
D  495 111.67  40.20
D  500 111.50  40.15
D  505 109.48  40.01
D  510 106.95  39.79
D  515 106.71  42.53
D  520 108.83  44.01
D  525 105.22  45.27
D  530 104.80  43.77
D  535 104.94  43.19
D  540 105.07  40.90
D  545 106.23  42.24
D  550 107.11  44.28
D  555 108.82  43.64
D  560 109.61  44.12
D  565 108.25  44.12
D  570 111.86  40.62
D  575 110.21  41.47
D  580 109.81  42.28
D  585 113.31  43.49
D  590 114.65  45.24
D  595 111.75  47.36
D  600 103.26  48.93
D  605 103.40  47.89
D  610 102.55  44.85
D  615  99.93  40.91
D  620 102.26  39.22
D  625 105.91  43.28
D  630 107.26  42.81
D  635 108.98  38.18
D  640 108.42  36.07
D  645 108.60  38.79
D  650 107.20  41.70
D  655 104.28  45.22
D  660  99.40  47.60
D  665  91.56  47.48
D  670  86.92  50.00
D  675  94.12  49.22
D  680 102.25  46.27
D  685 108.20  44.13
D  690 111.20  45.85
D  695 110.20  48.95
D  700 110.34  49.46
D  705 106.31  47.50
D  710 101.41  48.52
D  715 104.10  45.55
D  720 107.93  45.46
D  725 108.24  44.45
D  730 107.87  43.15
D  735 108.67  44.29
D  740 109.15  44.03
D  745 108.24  44.73
D  750 113.48  43.18
D  755 121.63  45.49
D  760 122.59  46.60
D  765 119.77  42.51
D  770 124.44  42.30
D  775 122.45  42.65
D  780 120.45  43.35
D  785 118.54  42.76
D  790 112.23  43.68
D  795 106.51  44.99
D  800 106.87  45.48
D  805 101.20  46.06
D  810 105.01  44.31
D  815 106.19  44.54
D  820 104.09  44.64
D  825 107.98  44.46
D  830 108.49  43.28
D  835 106.93  42.52
D  840 105.49  43.24
D  845 110.25  45.51
D  850 112.28  45.91
D  855 111.81  46.06
D  860 108.21  45.74
D  865 108.52  46.88
D  870 113.45  39.78
D  875 112.36  40.58
D  880 108.16  45.80
D  885 107.54  45.89
D  890 115.04  47.70
D  895 113.13  46.76
D  900 112.45  46.96
D  905 115.68  45.38
D  910 114.74  41.93
D  915 117.97  39.88
D  920 117.93  43.20
D  925 114.50  43.94
D  930 111.86  46.22
D  935 111.92  49.16
D  940 120.60  53.65
D  945 116.81  58.00
D  950 109.75  55.91
D  955 118.95  54.84
D  960 114.90  53.90
D  965 118.81  56.47
D  970 116.79  55.83
D  975 108.23  53.80
D  980 105.27  52.65
D  985  98.01  52.60
D  990  98.72  51.83
D  995 100.90  52.46
D 1000 109.49  49.31
D 1005 111.96  46.34
D 1010 114.06  43.72
D 1015 119.53  42.37
D 1020 122.55  42.09
D 1025 123.20  40.05
D 1030 121.72  38.16
D 1035 119.83  36.80
D 1040 112.87  43.24
D 1045 114.89  42.58
D 1050 115.19  44.53
D 1055 116.56  44.84
D 1060 114.73  49.84
D 1065 115.35  50.08
D 1070 120.58  46.68
D 1075 123.74  49.66
D 1080 112.86  52.86
D 1085 107.35  56.87
D 1090 105.47  54.38
D 1095 108.47  45.70
D 1100 110.11  44.75
D 1105 108.97  44.04
D 1110 108.13  44.60
D 1115 105.02  44.07
D 1120 107.64  42.93
D 1125 105.44  48.17
D 1130 111.01  52.31
D 1135 113.42  54.48
D 1140 118.14  52.86
D 1145 114.26  50.61
D 1150 109.85  48.98
D 1155 106.70  50.48
D 1160 105.14  53.25
D 1165 109.31  57.19
D 1170 112.43  59.20
D 1175 115.33  60.16
D 1180 115.08  61.33
D 1185 107.79  58.27
D 1190 105.32  56.80
D 1195 105.49  56.34
D 1200 105.94  52.79
D 1205 106.50  51.56
D 1210 111.81  50.49
D 1215 117.69  45.60
D 1220 117.96  44.95
D 1225 119.06  38.12
D 1230 118.44  39.80
D 1235 116.21  42.42
D 1240 117.36  45.42
D 1245 113.99  47.81
D 1250 117.44  48.76
D 1255 120.05  46.51
D 1260 118.50  44.02
D 1265 118.35  44.88
D 1270 118.96  48.26
D 1275 120.84  49.71
D 1280 120.82  52.62
D 1285 117.62  49.02
D 1290 118.35  44.87
D 1295 118.07  43.60
D 1300 116.45  43.00
D 1305 112.40  43.30
D 1310 110.71  41.45
D 1315 110.35  41.78
D 1320 108.68  42.97
D 1325 107.18  41.03
D 1330 105.49  37.11
D 1335 110.58  40.57
D 1340 112.23  42.81
D 1345 113.11  46.21
D 1350 112.18  48.30
D 1355 115.39  49.05
D 1360 117.95  47.89
D 1365 114.08  46.89
D 1370 112.50  46.96
D 1375 109.11  41.50
D 1380 110.04  40.21
D 1385 108.63  44.21
D 1390 108.72  45.66
D 1395 112.81  44.76
D 1400 113.08  45.40
D 1405 114.83  44.78
D 1410 113.93  42.48
D 1415 121.05  43.20
D 1420 122.13  42.45
D 1425 122.60  42.34
D 1430 122.97  42.39
D 1435 118.83  42.98
D 1440 110.78  44.51
D 1445 111.30  46.13
D 1450 115.63  47.13
D 1455 119.20  48.24
D 1460 119.95  47.28
D 1465 117.92  45.08
D 1470 120.50  42.76
D 1475 119.29  43.92
D 1480 113.76  42.76
D 1485 111.39  43.18
D 1490 110.72  43.62
D 1495 111.60  45.65
D 1500 114.88  48.43
D 1505 119.41  48.12
D 1510 116.51  46.90
D 1515 113.95  45.95
D 1520 104.57  44.06
D 1525 107.32  43.75
D 1530 109.54  43.80
D 1535 106.50  45.86
D 1540 112.71  48.29
D 1545 109.95  47.27
D 1550 104.64  47.67
D 1555 102.36  47.76
D 1560 107.00  48.95
D 1565 117.85  47.67
D 1570 120.35  50.17
D 1575 113.31  50.43
D 1580 109.84  49.15
D 1585 109.11  46.36
D 1590 106.90  47.63
D 1595 107.41  46.39
D 1600 110.47  48.60
D 1605 108.01  46.26
D 1610 104.11  45.32
D 1615 107.35  43.62
D 1620 107.90  44.31
D 1625 111.95  42.01
D 1630 115.42  40.09
D 1635 119.45  41.30
D 1640 120.60  42.13
D 1645 121.49  42.73
D 1650 116.24  44.06
D 1655 116.16  43.98
D 1660 115.45  44.45
D 1665 116.86  44.27
D 1670 116.67  46.95
D 1675 117.20  47.24
D 1680 119.73  45.84
D 1685 120.61  47.75
D 1690 123.32  43.96
D 1695 127.06  42.13
D 1700 130.69  40.97
D 1705 127.17  39.85
D 1710 123.71  41.68
D 1715 116.79  40.35
D 1720 120.38  39.65
D 1725 118.32  40.86
D 1730 121.22  44.07
D 1735 116.71  44.27
D 1740 113.08  45.93
D 1745 111.03  47.00
D 1750 117.27  46.33
D 1755 116.51  46.13
D 1760 118.25  40.84
D 1765 119.45  41.20
D 1770 120.24  41.07
D 1775 119.20  41.66
D 1780 120.55  42.53
D 1785 121.50  43.70
D 1790 118.13  46.40
D 1795 111.04  48.58
D 1800 109.71  48.18
D 1805 116.02  50.15
D 1810 119.56  48.50
D 1815 120.11  45.63
D 1820 123.15  42.91
D 1825 121.44  43.33
D 1830 118.21  46.70
D 1835 115.58  45.14
D 1840 118.65  43.12
D 1845 122.59  43.63
D 1850 124.14  44.33
D 1855 117.39  43.84
D 1860 110.97  41.80
D 1865 109.05  39.87
D 1870 113.11  40.50
D 1875 120.21  40.01
D 1880 124.58  40.16
D 1885 123.87  43.33
D 1890 114.21  47.02
D 1895 110.58  44.89
D 1900 109.80  44.67
D 1905 110.46  47.18
D 1910 100.72  47.25
D 1915  95.19  45.43
D 1920  99.16  46.87
D 1925 106.16  46.96
D 1930 113.33  45.84
D 1935 117.10  46.27
D 1940 113.25  45.69
D 1945 113.07  43.30
D 1950 110.71  43.58
D 1955 110.52  42.92
D 1960 111.58  42.15
