S 25/09/01 12:17:09
D    0 358.97  44.80
D    5 358.35  45.28
D   10 356.56  46.25
D   15 356.40  45.11
D   20 357.58  43.64
D   25   1.86  45.68
D   30   8.28  46.29
D   35   7.21  46.66
D   40   3.25  44.57
D   45 359.35  42.65
D   50 359.52  41.97
D   55 359.81  43.70
D   60 352.80  42.82
D   65 348.69  44.82
D   70 344.37  45.24
D   75 341.72  44.92
D   80 343.23  44.27
D   85 349.94  44.39
D   90 350.84  43.26
D   95   0.11  40.94
D  100   5.23  41.60
D  105   1.00  42.28
D  110   5.90  44.73
D  115   6.13  47.11
D  120 358.02  45.03
D  125   1.04  44.88
D  130 354.77  46.03
D  135 354.87  46.21
D  140 357.63  49.10
D  145   0.66  46.85
D  150   4.53  50.52
D  155   5.01  49.91
D  160   6.23  48.23
D  165   6.04  46.50
D  170   7.03  45.91
D  175   7.48  47.08
D  180   3.89  47.88
D  185   0.82  47.80
D  190   0.07  44.50
D  195   0.40  43.29
D  200 352.52  47.29
D  205 350.90  47.63
D  210 353.14  48.74
D  215 350.91  47.21
D  220 347.21  45.78
D  225 353.12  46.80
D  230 357.12  45.15
D  235   7.44  44.64
D  240  12.78  50.20
D  245  10.07  50.69
D  250  11.40  49.65
D  255  15.62  50.65
D  260  16.98  51.73
D  265  15.36  52.31
D  270  11.48  54.34
D  275   9.39  54.91
D  280   5.09  53.79
D  285   8.50  54.46
D  290   7.52  51.56
D  295   8.38  46.21
D  300   9.30  45.36
D  305  10.76  45.07
D  310   7.06  44.96
D  315   2.91  42.76
D  320   2.58  41.10
D  325 358.95  45.23
D  330 357.63  49.39
D  335   2.47  45.78
D  340 358.41  44.05
D  345 357.99  44.78
D  350 356.48  42.62
D  355 355.75  41.43
D  360 359.73  42.06
D  365   5.35  43.36
D  370   7.96  43.64
D  375   3.91  44.49
D  380   0.65  47.95
D  385   1.16  45.99
D  390   1.36  46.75
D  395   2.98  48.37
D  400   5.35  50.53
D  405   7.54  47.11
D  410   7.73  42.53
D  415   9.50  45.36
D  420  11.42  46.68
D  425   8.02  48.01
D  430   6.37  51.65
D  435   0.98  51.01
D  440   0.01  49.37
D  445   4.34  48.75
D  450   3.49  47.96
D  455 359.04  46.71
D  460 356.33  46.02
D  465 353.58  44.18
D  470 353.99  43.98
D  475 356.46  42.06
D  480   2.97  40.10
D  485   9.17  39.35
D  490   9.79  37.70
D  495   9.82  37.70
D  500   8.54  38.84
D  505   8.78  39.00
D  510   4.21  39.07
D  515   3.89  41.34
D  520   7.22  43.93
D  525   3.45  44.13
D  530   2.36  42.20
D  535   2.95  40.21
D  540   3.35  40.47
D  545   5.18  40.86
D  550   5.32  42.80
D  555   6.84  42.25
D  560   6.85  43.20
D  565   6.28  42.11
D  570   9.30  40.39
D  575   7.21  40.05
D  580   8.22  40.82
D  585  11.37  42.27
D  590  13.08  44.20
D  595   4.87  46.10
D  600   1.59  47.65
D  605   1.40  45.75
D  610   1.05  43.32
D  615 358.89  40.70
D  620   1.58  38.64
D  625   5.97  41.98
D  630   6.83  39.88
D  635   6.08  35.50
D  640   5.96  35.12
D  645   6.65  38.02
D  650   4.93  39.34
D  655   1.75  44.27
D  660 345.43  45.99
D  665 349.97  46.26
D  670 346.96  48.43
D  675 353.92  48.58
D  680   2.14  46.86
D  685   5.81  43.29
D  690   9.21  44.50
D  695   8.16  47.67
D  700   7.87  48.10
D  705   4.46  46.44
D  710 359.40  48.06
D  715   0.37  45.17
D  720   5.83  44.38
D  725   5.62  43.41
D  730   6.58  42.17
D  735   7.22  43.05
D  740   8.38  42.48
D  745   6.60  43.65
D  750  14.48  42.77
D  755  21.20  45.25
D  760  21.35  44.52
D  765  19.94  41.89
D  770  22.15  41.21
D  775  19.95  40.33
D  780  18.57  42.67
D  785  15.30  41.73
D  790  10.50  42.88
D  795   4.19  44.08
D  800   3.00  43.10
D  805 359.01  45.57
D  810   2.81  43.56
D  815   4.59  42.86
D  820   2.65  43.46
D  825   5.90  43.23
D  830   7.46  42.17
D  835   5.58  41.52
D  840   3.95  42.70
D  845   9.34  44.28
D  850  10.00  44.41
D  855   9.02  45.60
D  860   6.35  45.26
D  865   8.90  44.65
D  870  10.15  39.29
D  875   9.29  42.14
D  880   7.65  39.99
D  885   5.91  44.43
D  890  12.90  46.80
D  895  10.93  45.41
D  900  10.17  45.40
D  905  11.50  43.67
D  910  13.01  41.19
D  915  14.43  38.96
D  920  15.86  42.28
D  925  14.05  43.38
D  930   9.54  44.97
D  935   9.66  48.31
D  940  17.26  54.80
D  945  15.61  55.98
D  950   8.94  54.56
D  955  16.88  54.38
D  960  12.39  52.90
D  965  17.03  55.04
D  970  15.58  55.08
D  975   9.47  52.42
D  980   3.57  51.69
D  985 357.08  51.34
D  990 357.01  51.11
D  995   0.31  51.27
D 1000   8.40  48.59
D 1005  10.54  45.23
D 1010  11.37  42.19
D 1015  16.71  42.19
D 1020  20.20  41.27
D 1025  21.19  39.28
D 1030  20.49  36.79
D 1035  15.06  39.13
D 1040  10.75  43.21
D 1045  13.07  41.55
D 1050  13.20  43.43
D 1055  14.82  46.84
D 1060  13.01  48.70
D 1065  12.18  46.94
D 1070  18.53  45.40
D 1075  20.57  49.24
D 1080  15.20  51.76
D 1085   5.32  54.88
D 1090   4.12  55.45
D 1095   3.25  45.27
D 1100   8.26  43.56
D 1105   8.26  43.56
D 1110   5.04  43.17
D 1115   5.98  43.14
D 1120   6.40  41.75
D 1125   3.58  48.93
D 1130   9.54  51.81
D 1135  12.94  52.78
D 1140  14.99  52.38
D 1145  11.76  49.50
D 1150   7.79  48.40
D 1155   5.74  47.75
D 1160   3.18  51.54
D 1165   9.19  56.76
D 1170   8.82  58.03
D 1175  12.30  58.46
D 1180  12.52  59.46
D 1185   6.28  58.02
D 1190   6.22  55.19
D 1195   4.12  52.57
D 1200   4.12  51.70
D 1205   5.46  50.64
D 1210   8.02  46.42
D 1215  16.02  44.57
D 1220  18.28  40.33
D 1225  17.76  37.08
D 1230  15.85  38.89
D 1235  14.17  42.51
D 1240  14.75  45.21
D 1245  11.57  46.58
D 1250  16.17  47.44
D 1255  17.67  45.39
D 1260  15.86  42.60
D 1265  16.32  44.45
D 1270  16.83  47.18
D 1275  18.57  48.38
D 1280  17.60  51.20
D 1285  15.30  46.15
D 1290  15.82  43.23
D 1295  16.24  42.53
D 1300  13.89  42.24
D 1305   9.78  41.94
D 1310   8.36  39.73
D 1315   8.43  41.27
D 1320   7.10  41.23
D 1325   5.75  39.65
D 1330   7.05  37.01
D 1335   9.55  38.57
D 1340   9.53  43.42
D 1345  10.88  44.63
D 1350  10.83  47.70
D 1355  13.05  47.82
D 1360  15.84  46.29
D 1365  11.75  45.07
D 1370  10.69  44.84
D 1375   9.07  39.92
D 1380   6.07  39.54
D 1385   6.12  43.38
D 1390   7.24  44.39
