time,"coordinates [x,y]",elevation,azimuth
20250829_092900,"[1759, 1050]",242,354
20250829_092910,"[1745, 1055]",240,353
20250829_092920,"[1741, 1061]",240,353
20250829_092930,"[1717, 1109]",238,349
20250829_092940,"[1681, 1151]",235,345
20250829_092950,"[1688, 1160]",236,345
20250829_093000,"[1686, 1149]",235,345
20250829_093010,"[1648, 1072]",229,351
20250829_093020,"[1668, 1061]",231,352
20250829_093030,"[1659, 1135]",232,346
20250829_093040,"[1659, 1162]",232,344
20250829_093050,"[1647, 1207]",233,340
20250829_093100,"[1622, 1209]",230,339
20250829_093110,"[1648, 1231]",234,339
20250829_093120,"[1688, 1188]",237,343
20250829_093130,"[1664, 1155]",233,345
20250829_093140,"[1680, 1142]",234,346
20250829_093150,"[1685, 1156]",235,345
20250829_093200,"[1676, 1147]",234,345
20250829_093210,"[1716, 1179]",240,344
20250829_093220,"[1730, 1188]",242,344
20250829_093230,"[1720, 1157]",239,345
20250829_093240,"[1736, 1117]",240,349
20250829_093250,"[1751, 1133]",242,348
20250829_093300,"[1743, 1117]",241,349
20250829_093310,"[1725, 1140]",240,347
20250829_093320,"[1729, 1150]",240,346
20250829_093330,"[1718, 1183]",240,344
20250829_093340,"[1719, 1205]",241,342
20250829_093350,"[1738, 1183]",242,344
20250829_093400,"[1729, 1163]",241,345
20250829_093410,"[1718, 1163]",239,345
20250829_093420,"[1696, 1181]",237,343
20250829_093430,"[1642, 1208]",232,340
20250829_093440,"[1658, 1146]",232,345
20250829_093450,"[1623, 1191]",229,341
20250829_093500,"[1677, 1184]",235,343
20250829_093510,"[1770, 1200]",247,343
20250829_093520,"[1741, 1203]",243,343
20250829_093530,"[1668, 1224]",236,340
20250829_093540,"[1632, 1216]",231,339
20250829_093550,"[1612, 1162]",227,343
20250829_093600,"[1647, 1181]",232,342
20250829_093610,"[928, 411]",211,93
20250829_093620,"[1724, 1238]",243,340
20250829_093630,"[1688, 1245]",239,339
20250829_093640,"[1664, 1234]",236,339
20250829_093650,"[1663, 1191]",234,342
20250829_093700,"[1626, 1159]",229,343
20250829_093710,"[1672, 1157]",234,345
20250829_093720,"[1700, 1155]",237,345
20250829_093730,"[1714, 1144]",238,346
20250829_093740,"[1690, 1150]",236,345
20250829_093750,"[1712, 1149]",238,346
20250829_093800,"[1706, 1156]",238,345
20250829_093810,"[1669, 1159]",234,344
20250829_093820,"[1668, 1192]",235,342
20250829_093830,"[1719, 1190]",240,343
20250829_093840,"[1717, 1190]",240,343
20250829_093850,"[1705, 1205]",239,342
20250829_093900,"[1699, 1217]",239,341
20250829_093910,"[1676, 1242]",238,339
20250829_093920,"[1717, 1219]",241,341
20250829_093930,"[1733, 1187]",242,344
20250829_093940,"[1749, 1151]",243,346
20250829_093950,"[1746, 1144]",242,347
20250829_094000,"[1759, 1134]",243,348
20250829_094010,"[1761, 1114]",243,349
20250829_094020,"[1746, 1133]",242,348
20250829_094030,"[1751, 1119]",242,349
20250829_094040,"[1738, 1074]",240,352
20250829_094050,"[1746, 1079]",241,351
20250829_094100,"[1737, 1115]",240,349
20250829_094110,"[1738, 1117]",241,349
20250829_094120,"[1754, 1108]",242,349
20250829_094130,"[1738, 1061]",239,353
20250829_094140,"[1724, 1046]",237,354
20250829_094150,"[1687, 1101]",234,349
20250829_094200,"[1662, 1121]",232,347
20250829_094210,"[1656, 1127]",231,347
20250829_094220,"[1690, 1162]",236,345
20250829_094230,"[1679, 1163]",235,344
20250829_094240,"[1663, 1167]",233,344
20250829_094250,"[1661, 1195]",234,341
20250829_094300,"[1712, 1166]",239,345
20250829_094310,"[1748, 1124]",242,348
20250829_094320,"[1780, 1111]",245,350
20250829_094330,"[1759, 1115]",243,349
20250829_094340,"[1773, 1112]",245,349
20250829_094350,"[1750, 1119]",242,349
20250829_094400,"[1747, 1145]",242,347
20250829_094410,"[1728, 1143]",240,347
20250829_094420,"[1700, 1098]",236,349
20250829_094430,"[1672, 1051]",231,353
20250829_094440,"[1669, 1065]",231,352
20250829_094450,"[1696, 1101]",235,349
20250829_094500,"[1716, 1080]",237,351
20250829_094510,"[1689, 1120]",235,348
20250829_094520,"[1648, 1145]",231,345
20250829_094530,"[515, 1688]",248,239
20250829_094540,"[1679, 1154]",235,345
20250829_094550,"[1710, 1191]",239,343
20250829_094600,"[1665, 1240]",236,338
20250829_094610,"[1666, 1278]",238,336
20250829_094620,"[1664, 1253]",237,337
20250829_094630,"[1658, 1235]",235,338
20250829_094640,"[1660, 1207]",234,341
20250829_094650,"[1072, 1356]",194,286
20250829_094700,"[1647, 1076]",229,350
20250829_094710,"[1629, 1081]",227,350
20250829_094720,"[1619, 1096]",226,348
20250829_094730,"[1676, 1082]",232,350
20250829_094740,"[1716, 1081]",237,351
20250829_094750,"[1757, 1045]",241,354
20250829_094800,"[1776, 1037]",244,355
20250829_094810,"[1785, 1020]",245,356
20250829_094820,"[1792, 1034]",246,355
20250829_094830,"[1799, 1033]",246,355
20250829_094840,"[1798, 1043]",246,354
20250829_094850,"[1803, 1049]",247,354
20250829_094900,"[1787, 1059]",245,353
20250829_094910,"[1799, 1063]",247,353
20250829_094920,"[1806, 1069]",248,353
20250829_094930,"[1815, 1082]",249,352
20250829_094940,"[1816, 1045]",249,354
20250829_094950,"[1782, 1023]",244,356
20250829_095000,"[1765, 1059]",243,353
20250829_095010,"[1756, 1067]",242,352
20250829_095020,"[1748, 1072]",241,352
20250829_095030,"[1737, 1080]",240,351
20250829_095040,"[1716, 1114]",238,348
20250829_095050,"[1689, 1161]",236,345
20250829_095100,"[1703, 1205]",239,342
20250829_095110,"[1733, 1152]",241,346
20250829_095120,"[1736, 1127]",241,348
20250829_095130,"[1736, 1060]",239,353
20250829_095140,"[1725, 1079]",238,351
20250829_095150,"[1728, 1112]",239,349
20250829_095200,"[1698, 1084]",235,350
20250829_095210,"[1645, 1140]",230,345
20250829_095220,"[1667, 1168]",234,344
20250829_095230,"[1704, 1180]",238,344
20250829_095240,"[1701, 1191]",238,343
20250829_095250,"[1710, 1196]",240,343
20250829_095300,"[1708, 1165]",238,345
20250829_095310,"[1690, 1119]",235,348
20250829_095320,"[1679, 1140]",234,346
20250829_095330,"[1677, 1139]",234,346
20250829_095340,"[1690, 1156]",236,345
20250829_095350,"[1707, 1165]",238,345
20250829_095400,"[1726, 1142]",240,347
20250829_095410,"[1717, 1168]",239,345
20250829_095420,"[1704, 1138]",237,347
20250829_095430,"[1725, 1125]",239,348
20250829_095440,"[1730, 1128]",240,348
20250829_095450,"[1706, 1152]",238,346
20250829_095500,"[1727, 1130]",240,348
20250829_095510,"[1744, 1141]",242,347
20250829_095520,"[1741, 1117]",241,349
20250829_095530,"[1729, 1079]",239,351
20250829_095540,"[1732, 1053]",239,353
20250829_095550,"[1713, 1069]",237,352
20250829_095600,"[1723, 1106]",238,349
20250829_095610,"[1725, 1092]",238,350
20250829_095620,"[1709, 1114]",237,348
20250829_095630,"[1662, 1151]",232,345
20250829_095640,"[1688, 1150]",235,345
20250829_095650,"[1701, 1152]",237,345
20250829_095700,"[1728, 1145]",240,346
20250829_095710,"[1719, 1119]",238,348
20250829_095720,"[1714, 1149]",239,346
20250829_095730,"[1715, 1151]",239,346
20250829_095740,"[1722, 1174]",240,344
20250829_095750,"[1687, 1193]",237,342
20250829_095800,"[1658, 1206]",234,341
20250829_095810,"[1681, 1175]",235,343
20250829_095820,"[1688, 1157]",236,345
20250829_095830,"[1695, 1156]",237,345
20250829_095840,"[1716, 1115]",238,348
20250829_095850,"[1735, 1128]",240,348
20250829_095900,"[1762, 1114]",243,349
20250829_095910,"[1745, 1148]",242,347
20250829_095920,"[1690, 1150]",236,345
20250829_095930,"[1666, 1160]",233,344
20250829_095940,"[1669, 1205]",235,341
20250829_095950,"[1671, 1208]",236,341
20250829_100000,"[1661, 1228]",235,339
20250829_100010,"[1661, 1215]",235,340
20250829_100020,"[1690, 1200]",237,342
20250829_100030,"[1698, 1194]",238,342
20250829_100040,"[1706, 1186]",239,343
20250829_100050,"[1669, 1160]",234,344
20250829_100100,"[1672, 1181]",235,343
20250829_100110,"[1704, 1195]",239,342
20250829_100120,"[1715, 1174]",239,344
20250829_100130,"[1690, 1178]",237,343
20250829_100140,"[1650, 1156]",231,344
20250829_100150,"[1671, 1121]",233,347
20250829_100200,"[1691, 1116]",235,348
20250829_100210,"[1714, 1149]",239,346
20250829_100220,"[1718, 1175]",240,344
20250829_100230,"[1718, 1163]",239,345
20250829_100240,"[1725, 1152]",240,346
20250829_100250,"[1695, 1134]",236,347
20250829_100300,"[1695, 1152]",236,345
20250829_100310,"[1711, 1164]",239,345
20250829_100320,"[1731, 1127]",240,348
20250829_100330,"[1728, 1125]",240,348
20250829_100340,"[1728, 1119]",239,348
20250829_100350,"[1737, 1122]",241,348
20250829_100400,"[1736, 1125]",240,348
20250829_100410,"[1743, 1115]",241,349
20250829_100420,"[1735, 1091]",240,350
20250829_100430,"[1735, 1081]",239,351
20250829_100440,"[1704, 1071]",235,352
20250829_100450,"[1715, 1116]",238,348
20250829_100500,"[1737, 1141]",241,347
20250829_100510,"[1763, 1144]",244,347
20250829_100520,"[1772, 1117]",245,349
20250829_100530,"[1793, 1084]",246,352
20250829_100540,"[1791, 1050]",246,354
20250829_100550,"[1802, 1018]",247,356
20250829_100600,"[1775, 1018]",243,356
20250829_100610,"[1785, 1023]",245,356
20250829_100620,"[1796, 1016]",246,356
20250829_100630,"[1791, 1012]",245,356
20250829_100640,"[1773, 1005]",243,357
20250829_100650,"[1754, 989]",241,358
20250829_100700,"[1716, 999]",236,357
20250829_100710,"[1660, 1083]",230,350
20250829_100720,"[1637, 1108]",228,348
20250829_100730,"[1663, 1130]",232,346
20250829_100740,"[1696, 1127]",236,347
20250829_100750,"[1725, 1119]",239,348
20250829_100800,"[1749, 1092]",241,351
20250829_100810,"[1776, 1048]",244,354
20250829_100820,"[1792, 1024]",245,356
20250829_100830,"[1810, 1016]",248,356
20250829_100840,"[1807, 1010]",247,357
20250829_100850,"[1816, 1016]",248,356
20250829_100900,"[1809, 1039]",248,355
20250829_100910,"[1801, 1028]",247,355
20250829_100920,"[1809, 1034]",248,355
20250829_100930,"[1786, 1044]",245,354
20250829_100940,"[1759, 1035]",242,355
20250829_100950,"[1717, 1080]",237,351
20250829_101000,"[1744, 1045]",240,354
20250829_101010,"[1768, 1034]",243,355
20250829_101020,"[1764, 1096]",243,350
20250829_101030,"[1754, 1079]",242,351
20250829_101040,"[1747, 1077]",241,352
20250829_101050,"[1759, 1085]",242,351
20250829_101100,"[1746, 1084]",241,351
20250829_101110,"[1735, 1030]",239,355
20250829_101120,"[1747, 1008]",240,357
20250829_101130,"[1730, 1015]",238,356
20250829_101140,"[1701, 1053]",235,353
20250829_101150,"[1727, 1007]",237,356
20250829_101200,"[1732, 989]",238,358
20250829_101210,"[1703, 976]",234,359
20250829_101220,"[1672, 996]",231,357
20250829_101230,"[1645, 1010]",228,356
20250829_101240,"[1641, 1041]",227,353
20250829_101250,"[1660, 1027]",230,355
20250829_101300,"[1691, 1034]",233,354
20250829_101310,"[1703, 1048]",235,353
20250829_101320,"[1719, 998]",236,357
20250829_101330,"[1717, 993]",236,358
20250829_101340,"[1729, 988]",238,358
20250829_101350,"[1736, 975]",238,359
20250829_101400,"[1744, 955]",239,0
20250829_101410,"[1751, 962]",240,360
